subgroup_family,subgroup_name,classification_group,subgroup_admissions,classification_group_total,subgroup_count_in_group,subgroup_rate_in_group,subgroup_rate_overall,enrichment_ratio,chi_square_p_value
demographics,race_HISPANIC/LATINO - PUERTO RICAN,false_negative,1226,4331,103,0.023782036481182173,0.025990545038265037,0.915026462360395,0.36364202128897405
demographics,insurance_grouped_Private,false_negative,11924,4331,989,0.2283537289309628,0.25278242988276695,0.903360763787525,0.00011188758182706486
demographics,race_OTHER,false_negative,1419,4331,109,0.025167397829600553,0.0300820419325433,0.8366253157294486,0.05235112688443004
diagnosis,has_psychotic_disorder,false_negative,3064,4331,234,0.054029092588316785,0.06495516312988912,0.8317905765285546,0.0024516465045908795
diagnosis,new_psychosis_this_admission_flag,false_negative,1452,4331,108,0.024936504271530824,0.03078162430306756,0.8101100847054963,0.02197712094648722
diagnosis,psychosis_and_substance_use_flag,false_negative,1077,4331,79,0.018240591087508657,0.02283182463801912,0.7989107912617186,0.038518897340925326
demographics,age_under_40,false_negative,11027,4331,800,0.18471484645578387,0.2337665090839711,0.7901681347751683,1.407181858500183e-15
discharge_pathway,home_discharge_without_discharge_planning_order_flag,false_negative,309,4331,22,0.005079658277534056,0.006550634923999915,0.7754451799662103,0.24589282948086166
prior_utilisation,previous_total_admissions_high,false_negative,5064,4331,351,0.08104363888247518,0.10735409467681414,0.7549189355697544,5.1100881579557395e-09
demographics,race_HISPANIC OR LATINO,false_negative,550,4331,37,0.008543061648580005,0.011659706175404379,0.7326995655003045,0.05352584898575699
medical_complexity,vital_instability_near_discharge_score,false_negative,1529,4331,102,0.023551142923112445,0.03241398316762418,0.726573553189102,0.0006473841963431572
demographics,insurance_grouped_Other / unknown,false_negative,2243,4331,148,0.03417224659432002,0.04755040172987641,0.7186531627733703,1.6797632810294998e-05
medical_complexity,medical_complexity_no_aftercare_flag,false_negative,4284,4331,267,0.06164858000461787,0.09081851137351339,0.6788107300181675,2.9008413485649426e-12
diagnosis,self_harm_and_substance_use_flag,false_negative,1867,4331,108,0.024936504271530824,0.03957940259905451,0.6300374092085594,2.6675185933606847e-07
discharge_pathway,discharged_to_psych_facility_flag,false_negative,571,4331,33,0.007619487416301085,0.012104894956647093,0.6294550628972653,0.005786950021017463
diagnosis,has_self_harm_or_suicidal_ideation,false_negative,3648,4331,199,0.04594781805587624,0.07733565114159123,0.5941350124763537,6.2391000650498e-16
prior_utilisation,previous_psych_admissions_365d_high,false_negative,6826,4331,319,0.07365504502424382,0.14470755336965507,0.5089924009432472,4.501681653968343e-44
discharge_pathway,low_aftercare_quality_flag,false_negative,5719,4331,266,0.06141768644654814,0.12123974475843209,0.5065804664049872,1.4068311754346455e-36
diagnosis,new_self_harm_this_admission_flag,false_negative,2147,4331,98,0.022627568690833526,0.04551525301562401,0.4971425443480709,4.528674723808612e-14
prior_utilisation,previous_ed_visits_365d_high,false_negative,4734,4331,199,0.04594781805587624,0.10035827097157152,0.45783788033665784,9.805842978446896e-36
