subgroup_family,subgroup_name,admissions,readmissions,readmission_rate,mean_predicted_probability,calibration_gap_mean_predicted_minus_observed,absolute_calibration_gap,calibration_direction,brier_score,pr_auc_average_precision,recall_sensitivity,interpretation_reliability
diagnosis,depression_and_substance_use_flag,5254,1364,0.2596117244004568,0.338510748360364,0.07889902395990717,0.07889902395990717,overestimates,0.14523130434913079,0.6657642367540485,0.6671554252199413,main_interpretation
demographics,race_HISPANIC OR LATINO,550,119,0.21636363636363637,0.2950111286385786,0.07864749227494222,0.07864749227494222,overestimates,0.12449811955307437,0.6521374363661318,0.6890756302521008,supporting_interpretation
prior_utilisation,previous_nonpsych_admissions_365d_any,7621,1761,0.23107203779031624,0.30930495101263594,0.0782329132223197,0.0782329132223197,overestimates,0.15541307855224912,0.5060347366887541,0.56274843838728,main_interpretation
prior_utilisation,previous_nonpsych_admissions_365d_high,7621,1761,0.23107203779031624,0.30930495101263594,0.0782329132223197,0.0782329132223197,overestimates,0.15541307855224912,0.5060347366887541,0.56274843838728,main_interpretation
diagnosis,has_psychotic_disorder,3064,946,0.3087467362924282,0.3869534911226526,0.07820675483022438,0.07820675483022438,overestimates,0.12074769250497736,0.8311904270120671,0.7526427061310782,main_interpretation
prior_utilisation,previous_icu_admissions_high,9509,2604,0.27384583026606374,0.3516737530600386,0.07782792279397488,0.07782792279397488,overestimates,0.16580326238685822,0.5939962662659428,0.6394009216589862,main_interpretation
prior_utilisation,previous_icu_admissions_any,9509,2604,0.27384583026606374,0.3516737530600386,0.07782792279397488,0.07782792279397488,overestimates,0.16580326238685822,0.5939962662659428,0.6394009216589862,main_interpretation
demographics,language_Spanish,1361,246,0.1807494489346069,0.2585555293354059,0.07780608040079898,0.07780608040079898,overestimates,0.11874212847013829,0.5595788239211079,0.532520325203252,main_interpretation
prior_utilisation,previous_total_admissions_any,29723,6901,0.23217710190761362,0.30960007338341816,0.07742297147580454,0.07742297147580454,overestimates,0.1460989350016292,0.5822049043749429,0.5739747862628605,main_interpretation
demographics,insurance_grouped_Medicaid,11809,2826,0.23930900160894233,0.31666402879855476,0.07735502718961243,0.07735502718961243,overestimates,0.14017105993154863,0.6409662162088579,0.6273885350318471,main_interpretation
discharge_pathway,had_substance_use_followup_order,307,60,0.19543973941368079,0.27156408953924166,0.07612435012556087,0.07612435012556087,overestimates,0.14231381080587405,0.4558065568400266,0.45,supporting_interpretation
demographics,language_Kabuverdianu,294,42,0.14285714285714285,0.2183108871005903,0.07545374424344745,0.07545374424344745,overestimates,0.11165185322837747,0.4226882171994285,0.3333333333333333,supporting_interpretation
medical_complexity,charlson_5plus,2707,602,0.22238640561507203,0.2974744393166645,0.07508803370159248,0.07508803370159248,overestimates,0.15839240468969382,0.441298180039508,0.5016611295681063,main_interpretation
diagnosis,has_severe_mental_illness,6453,1804,0.2795598946226561,0.3534244176944753,0.07386452307181918,0.07386452307181918,overestimates,0.1307382970827976,0.7631138642913055,0.6929046563192904,main_interpretation
diagnosis,has_bipolar_disorder,3801,980,0.2578268876611418,0.3299757567925284,0.07214886913138657,0.07214886913138657,overestimates,0.13754407708401742,0.695519311030472,0.6469387755102041,main_interpretation
medical_complexity,charlson_3plus,11644,2539,0.21805221573342495,0.2901369301248895,0.07208471439146455,0.07208471439146455,overestimates,0.1495252722846027,0.49304749729810815,0.5084679007483262,main_interpretation
diagnosis,has_substance_use,19942,4148,0.20800320930699026,0.2797723463691526,0.07176913706216234,0.07176913706216234,overestimates,0.1273146823671046,0.6119120438974142,0.5940212150433944,main_interpretation
demographics,gender_M,23471,4855,0.20685100762643263,0.2785476039973895,0.07169659637095685,0.07169659637095685,overestimates,0.1267876964815824,0.6113307130540441,0.5746652935118435,main_interpretation
care_process,care_team_touchpoints_last_12h_before_discharge_high,4750,734,0.15452631578947368,0.22567997065040685,0.07115365486093317,0.07115365486093317,overestimates,0.1202020066883212,0.38821117494501334,0.39645776566757496,main_interpretation
