subgroup_family,subgroup_name,metric,bootstrap_iterations_used,bootstrap_mean,ci_lower_2_5,ci_upper_97_5
medical_complexity,charlson_3plus,specificity,50,0.825582021173988,0.8163114698460046,0.834913621535444
medical_complexity,charlson_3plus,f1_score,50,0.47464034943336,0.45805224677565104,0.49360417914357835
overall,all_test_admissions,readmission_rate,50,0.19727629263742558,0.19391257340315024,0.20077484047402006
overall,all_test_admissions,roc_auc,50,0.8011640447993708,0.7955620264524274,0.8050207556496903
overall,all_test_admissions,pr_auc_average_precision,50,0.595789750916543,0.5867760792987426,0.6045187508547673
overall,all_test_admissions,precision,50,0.5258585858008563,0.5174940739477676,0.5371584982885074
overall,all_test_admissions,recall_sensitivity,50,0.5349432346895613,0.5260030741580175,0.5421415040837282
overall,all_test_admissions,specificity,50,0.8814605841269486,0.8777817308681224,0.884399846202057
overall,all_test_admissions,f1_score,50,0.5303514637622228,0.5229883571928733,0.5382353243500639
prior_utilisation,previous_ed_visits_365d_any,readmission_rate,50,0.2737733829451042,0.2683916101738111,0.27917197614557315
prior_utilisation,previous_ed_visits_365d_any,roc_auc,50,0.7668379551078182,0.7613916194276796,0.7724937338665815
prior_utilisation,previous_ed_visits_365d_any,pr_auc_average_precision,50,0.6058527420112475,0.5948985879701092,0.6150856376897738
prior_utilisation,previous_ed_visits_365d_any,precision,50,0.48540467358753064,0.4791672596676547,0.49457519595300065
prior_utilisation,previous_ed_visits_365d_any,recall_sensitivity,50,0.6474125467942332,0.6396579045488441,0.6547303780857869
prior_utilisation,previous_ed_visits_365d_any,specificity,50,0.7412542955022394,0.7364816973927032,0.7462475219089426
prior_utilisation,previous_ed_visits_365d_any,f1_score,50,0.5548122351595818,0.5482808108692452,0.5619434387568718
prior_utilisation,previous_psych_admissions_365d_any,readmission_rate,50,0.2830102434755752,0.2765378082050754,0.2904836052916045
prior_utilisation,previous_psych_admissions_365d_any,roc_auc,50,0.7597778222710535,0.7532825363601924,0.7660807845918155
prior_utilisation,previous_psych_admissions_365d_any,pr_auc_average_precision,50,0.6050318484246098,0.5945520133128974,0.6179939376482351
prior_utilisation,previous_psych_admissions_365d_any,precision,50,0.48103895600283414,0.4727092134686361,0.4936699773233221
prior_utilisation,previous_psych_admissions_365d_any,recall_sensitivity,50,0.6554144949110139,0.6421200226835065,0.6682190187480536
prior_utilisation,previous_psych_admissions_365d_any,specificity,50,0.7209063663841205,0.7147944017297484,0.7286438086834272
prior_utilisation,previous_psych_admissions_365d_any,f1_score,50,0.5548297741184317,0.5463057992000284,0.5659845253516709
prior_utilisation,previous_psych_admissions_90d_any,readmission_rate,50,0.31777629728329265,0.3094288992523503,0.3254145384558443
prior_utilisation,previous_psych_admissions_90d_any,roc_auc,50,0.7626251089721799,0.7560323777884373,0.7685638854913591
prior_utilisation,previous_psych_admissions_90d_any,pr_auc_average_precision,50,0.6314019703992042,0.6175305922523145,0.6445920368289462
prior_utilisation,previous_psych_admissions_90d_any,precision,50,0.48439979179496717,0.4733788104319123,0.49335883785095014
prior_utilisation,previous_psych_admissions_90d_any,recall_sensitivity,50,0.7313119792462307,0.7195865118376227,0.7403950224134901
prior_utilisation,previous_psych_admissions_90d_any,specificity,50,0.6374168519407878,0.6289657279104547,0.6463867349598278
prior_utilisation,previous_psych_admissions_90d_any,f1_score,50,0.5827628471831856,0.5743481849418595,0.591607342164824
prior_utilisation,previous_total_admissions_any,readmission_rate,50,0.2326097634828247,0.227688995054335,0.23779480536957912
prior_utilisation,previous_total_admissions_any,roc_auc,50,0.7774285784762234,0.7719100588981963,0.7849642671834005
prior_utilisation,previous_total_admissions_any,pr_auc_average_precision,50,0.5835145703339567,0.5721140341564589,0.5958756177351285
prior_utilisation,previous_total_admissions_any,precision,50,0.49442346367904905,0.4832194443268234,0.5038663688431171
prior_utilisation,previous_total_admissions_any,recall_sensitivity,50,0.5745526179489877,0.5638258631035239,0.5856592582544359
prior_utilisation,previous_total_admissions_any,specificity,50,0.8219234809171994,0.8181089155014167,0.8246592868851849
prior_utilisation,previous_total_admissions_any,f1_score,50,0.5314719244036068,0.5241534428147178,0.5393079315817216
