subgroup_family,subgroup_name,subgroup_admissions,complement_admissions,subgroup_readmission_rate,complement_readmission_rate,readmission_rate_difference,subgroup_pr_auc,complement_pr_auc,pr_auc_difference,subgroup_recall,complement_recall,recall_difference,subgroup_precision,complement_precision,precision_difference,absolute_pr_auc_difference,absolute_recall_difference
care_process,num_total_poe_orders_high,4742,42429,0.1792492619148039,0.1996040444035919,-0.020354782488787998,0.43962105537026136,0.6093798308387594,-0.169758775468498,0.4082352941176471,0.5479985830676585,-0.1397632889500114,0.4211165048543689,0.5357885015008081,-0.11467199664643923,0.169758775468498,0.1397632889500114
prior_utilisation,low_psych_history_but_prior_admissions,10296,36875,0.13597513597513597,0.21475254237288136,-0.07877740639774539,0.4490938684602007,0.617952654881751,-0.16885878642155028,0.25285714285714284,0.5851748958201793,-0.3323177529630365,0.6604477611940298,0.5177653631284916,0.14268239806553817,0.16885878642155028,0.3323177529630365
discharge_pathway,home_discharge_with_psych_risk,2307,44864,0.15604681404421328,0.19969240370898717,-0.04364558966477389,0.4337629135512745,0.6022773800705364,-0.16851446651926194,0.41388888888888886,0.5401272463444581,-0.12623835745556922,0.43440233236151604,0.5292573553538226,-0.09485502299230653,0.16851446651926194,0.12623835745556922
demographics,age_under_40,11027,36144,0.21574317584111727,0.1920097388224878,0.023733437018629455,0.7175175278404943,0.54912310367045,0.16839442417004424,0.6637242538881883,0.49121037463976946,0.17251387924841888,0.581798084008843,0.5033963378617838,0.07840174614705919,0.16839442417004424,0.17251387924841888
care_process,orders_last_24h_before_discharge_high,4765,42406,0.14186778593913957,0.2038154978069141,-0.061947711867774535,0.44007016502480006,0.607229134152182,-0.16715896912738198,0.3979289940828402,0.5459909753557792,-0.14806198127293901,0.4629948364888124,0.5299270072992701,-0.06693217081045771,0.16715896912738198,0.14806198127293901
demographics,insurance_grouped_Other / unknown,2243,44928,0.18323673651359787,0.19827279202279202,-0.015036055509194152,0.7529368635535937,0.5877686667827748,0.16516819677081884,0.6399026763990268,0.5304220925011226,0.10948058389790416,0.6795865633074936,0.5192878338278932,0.16029872947960033,0.16516819677081884,0.10948058389790416
medical_complexity,charlson_5plus,2707,44464,0.22238640561507203,0.196046239654552,0.026340165960520023,0.441298180039508,0.6045464589377321,-0.16324827889822408,0.5016611295681063,0.5375702649994264,-0.03590913543132013,0.41032608695652173,0.5355428571428571,-0.12521677018633537,0.16324827889822408,0.03590913543132013
prior_utilisation,previous_psych_admissions_365d_high,6826,40345,0.42176970407266334,0.15962324947329284,0.26214645459937047,0.6816163102861432,0.5284590295244681,0.15315728076167512,0.8891976380687738,0.3770186335403727,0.5121790045284011,0.5003909304143862,0.5556064073226544,-0.055215476908268224,0.15315728076167512,0.5121790045284011
discharge_pathway,discharged_to_facility_flag,16552,30619,0.19876752054132432,0.1969038832097717,0.00186363733155262,0.4957847561285951,0.6442552426423527,-0.14847048651375755,0.42948328267477204,0.5929673245977775,-0.16348404192300542,0.46943521594684384,0.5520382952439777,-0.0826030792971339,0.14847048651375755,0.16348404192300542
prior_utilisation,previous_ed_visits_365d_high,4734,42437,0.4564850021123785,0.16867356316421991,0.28781143894815864,0.6902641872452628,0.5438921620134527,0.14637202523181014,0.9079130032392411,0.4227437831796591,0.48516922005958196,0.5254418853776112,0.5260778859527121,-0.0006360005751009368,0.14637202523181014,0.48516922005958196
medical_complexity,vital_instability_near_discharge_score,1529,45642,0.1013734466971877,0.2007799833486701,-0.09940653665148239,0.4540588074811952,0.5986597652785347,-0.1446009577973395,0.3419354838709677,0.5385202968136185,-0.19658481294265073,0.4732142857142857,0.5264561553232345,-0.05324186960894883,0.1446009577973395,0.19658481294265073
medical_complexity,had_icu_stay,8070,39101,0.15452292441140025,0.20643973299915602,-0.05191680858775577,0.470254563353439,0.614103434554253,-0.14384887120081397,0.35765838011226947,0.5626858275520317,-0.2050274474397622,0.48903508771929827,0.529741077676697,-0.040705989957398714,0.14384887120081397,0.2050274474397622
discharge_pathway,had_substance_use_followup_order,307,46864,0.19543973941368079,0.1975716968248549,-0.0021319574111741124,0.4558065568400266,0.5972985824595902,-0.14149202561956364,0.45,0.5358030024840695,-0.08580300248406952,0.39705882352941174,0.5267572733064345,-0.12969844977702277,0.14149202561956364,0.08580300248406952
medical_complexity,charlson_3plus,11644,35527,0.21805221573342495,0.1908407689925972,0.02721144674082776,0.49304749729810815,0.6270033922285412,-0.13395589493043303,0.5084679007483262,0.5452802359882006,-0.03681233523987448,0.44841959013546373,0.5595580444982594,-0.11113845436279568,0.13395589493043303,0.03681233523987448
demographics,marital_status_SINGLE,22190,24981,0.22654348805768365,0.1718105760377887,0.05473291201989494,0.6534153221955619,0.5248067684666771,0.1286085537288848,0.6144817982892381,0.44245107176141657,0.17203072652782153,0.5389043963712491,0.5058604155567394,0.033043980814509655,0.1286085537288848,0.17203072652782153
care_process,late_medication_change_intensity_score_high,5054,42117,0.17530668777206174,0.20022793646271103,-0.024921248690649295,0.4809667519821582,0.6068277291905383,-0.12586097720838008,0.4525959367945824,0.543934542867307,-0.09133860607272465,0.4495515695067265,0.5337444728880615,-0.084192903381335,0.12586097720838008,0.09133860607272465
prior_utilisation,previous_total_admissions_high,5064,42107,0.4018562401263823,0.17298786425059967,0.22886837587578265,0.6825283350278294,0.5585038383792047,0.1240244966486247,0.8275184275184275,0.45359692476661173,0.3739215027518158,0.5184729064039408,0.5296569413273485,-0.011184034923407693,0.1240244966486247,0.3739215027518158
discharge_pathway,discharged_against_advice,527,46644,0.31688804554079697,0.19620958751393533,0.12067845802686164,0.4783574156122221,0.5977067627123331,-0.11934934710011103,0.6107784431137725,0.5338723776223776,0.07690606549139489,0.4533333333333333,0.527588813303099,-0.07425547996976573,0.11934934710011103,0.07690606549139489
demographics,race_BLACK/AFRICAN AMERICAN,6481,40690,0.2482641567659312,0.1894814450724994,0.0587827116934318,0.6919440695888543,0.57512059116301,0.1168234784258444,0.6444996892479801,0.5124513618677042,0.13204832738027583,0.57387935805202,0.5145201198072665,0.05935923824475342,0.1168234784258444,0.13204832738027583
demographics,marital_status_Unknown,1389,45782,0.059755219582433405,0.20173867458826614,-0.14198345500583273,0.7102197639923268,0.5947744189116313,0.11544534508069548,0.5542168674698795,0.5350801212646167,0.019136746205262845,0.7666666666666667,0.5242945045618502,0.2423721621048165,0.11544534508069548,0.019136746205262845
demographics,insurance_grouped_Medicare,21195,25976,0.18759141306912008,0.2056898675700647,-0.018098454500944605,0.5290279943755272,0.6429217931377278,-0.11389379876220063,0.4615191146881288,0.5901179112857945,-0.1285987965976657,0.49742477636215776,0.54390201828532,-0.04647724192316227,0.11389379876220063,0.1285987965976657
