subgroup_family,subgroup_name,classification_group,subgroup_admissions,classification_group_total,subgroup_count_in_group,subgroup_rate_in_group,subgroup_rate_overall,enrichment_ratio,chi_square_p_value,admissions,readmissions,readmission_rate,pr_auc_average_precision,recall_sensitivity,precision,interpretation_reliability,error_profile_priority_score
discharge_pathway,discharged_to_psych_facility_flag,false_negative,571,4331,33,0.007619487416301085,0.012104894956647093,0.6294550628972653,0.005786950021017463,571,307,0.5376532399299475,0.9761107967001248,0.8925081433224755,0.9133333333333333,supporting_interpretation,2.2196854858206994
demographics,marital_status_Unknown,false_negative,1389,4331,37,0.008543061648580005,0.029446057959339425,0.2901258178726907,2.039057570729345e-17,1389,83,0.059755219582433405,0.7102197639923268,0.5542168674698795,0.7666666666666667,exploratory_only,1.0553576596729977
demographics,race_UNKNOWN,false_negative,1278,4331,30,0.0069268067420918955,0.027092917258485085,0.25566854525134336,1.4827173250549508e-17,1278,62,0.048513302034428794,0.5876063370938782,0.5161290322580645,0.7272727272727273,exploratory_only,0.8779625129824447
prior_utilisation,previous_psych_admissions_365d_high,false_positive,6826,4498,2556,0.568252556691863,0.14470755336965507,3.9269032158968464,0.0,6826,2879,0.42176970407266334,0.6816163102861432,0.8891976380687738,0.5003909304143862,main_interpretation,30.812799407794916
prior_utilisation,previous_psych_admissions_90d_high,false_positive,5289,4498,1973,0.43863939528679413,0.11212397447584321,3.9120928181269363,0.0,5289,2383,0.4505577613915674,0.7133764475314095,0.9148132605958875,0.5249217433180833,main_interpretation,29.68424525159618
prior_utilisation,previous_ed_visits_365d_high,false_positive,4734,4498,1772,0.39395286794130724,0.10035827097157152,3.9254648782550494,0.0,4734,2161,0.4564850021123785,0.6902641872452628,0.9079130032392411,0.5254418853776112,main_interpretation,29.364158589799214
prior_utilisation,previous_total_admissions_high,false_positive,5064,4498,1564,0.3477100933748333,0.10735409467681414,3.2389085336856756,0.0,5064,2035,0.4018562401263823,0.6825283350278294,0.8275184275184275,0.5184729064039408,main_interpretation,23.824248739152424
prior_utilisation,previous_psych_admissions_90d_any,false_positive,13509,4498,3335,0.7414406402845709,0.28638358313370504,2.5889774552419493,0.0,13509,4287,0.31734399289362647,0.6309631207156406,0.7315138791695824,0.4846237057641786,main_interpretation,21.003151484670585
prior_utilisation,previous_psych_admissions_365d_any,false_positive,19427,4498,3888,0.8643841707425522,0.41184202158105615,2.0988246110102913,0.0,19427,5501,0.2831626087404128,0.6046008365214521,0.6556989638247591,0.4812541694462975,main_interpretation,17.34868974525655
prior_utilisation,previous_ed_visits_365d_any,false_positive,19619,4498,3694,0.8212538906180524,0.41591231900956094,1.9745841925859704,0.0,19619,5368,0.27361231459299656,0.6044724508880588,0.6471684053651267,0.48465401785714285,main_interpretation,16.220687522866232
prior_utilisation,previous_icu_admissions_any,false_positive,9509,4498,1766,0.3926189417518897,0.201585720039855,1.9476525503605415,7.123620482350871e-247,9509,2604,0.27384583026606374,0.5939962662659428,0.6394009216589862,0.48528125910813175,main_interpretation,14.562673049757343
prior_utilisation,previous_icu_admissions_high,false_positive,9509,4498,1766,0.3926189417518897,0.201585720039855,1.9476525503605415,7.123620482350871e-247,9509,2604,0.27384583026606374,0.5939962662659428,0.6394009216589862,0.48528125910813175,main_interpretation,14.562673049757343
prior_utilisation,previous_total_admissions_any,false_positive,29723,4498,4070,0.904846598488217,0.6301117211846261,1.4360097869423574,0.0,29723,6901,0.23217710190761362,0.5822049043749429,0.5739747862628605,0.49321379653841363,main_interpretation,11.935602055630497
discharge_pathway,discharged_against_advice,false_positive,527,4498,123,0.02734548688305914,0.011172118462614742,2.447654576396172,4.480791381425704e-27,527,167,0.31688804554079697,0.4783574156122221,0.6107784431137725,0.4533333333333333,supporting_interpretation,11.798384233571275
prior_utilisation,previous_nonpsych_admissions_365d_any,false_positive,7621,4498,1179,0.26211649622054245,0.16156112865955777,1.6223982736149074,1.5902397835520577e-82,7621,1761,0.23107203779031624,0.5060347366887541,0.56274843838728,0.45668202764976956,main_interpretation,11.475660578419237
prior_utilisation,previous_nonpsych_admissions_365d_high,false_positive,7621,4498,1179,0.26211649622054245,0.16156112865955777,1.6223982736149074,1.5902397835520577e-82,7621,1761,0.23107203779031624,0.5060347366887541,0.56274843838728,0.45668202764976956,main_interpretation,11.475660578419237
diagnosis,depression_and_substance_use_flag,false_positive,5254,4498,815,0.18119164072921298,0.11138199317377202,1.6267588284807204,5.178558814608686e-55,5254,1364,0.2596117244004568,0.6657642367540485,0.6671554252199413,0.527536231884058,main_interpretation,10.906465241730736
demographics,insurance_grouped_Medicaid,false_positive,11809,4498,1644,0.36549577590040017,0.25034449131881875,1.4599713138282477,3.1009645297750664e-78,11809,2826,0.23930900160894233,0.6409662162088579,0.6273885350318471,0.5188762071992976,main_interpretation,10.811811232950724
medical_complexity,charlson_3plus,false_positive,11644,4498,1588,0.3530457981325033,0.24684657946619745,1.4302235781267876,1.9967074150575976e-67,11644,2539,0.21805221573342495,0.49304749729810815,0.5084679007483262,0.44841959013546373,main_interpretation,10.541978001256352
care_process,quiet_risk_summary_score_high,false_positive,5811,4498,863,0.19186305024455313,0.12319009560959064,1.557455161432768,5.561964747785618e-49,5811,2410,0.414730683187059,0.9128637016939516,0.9074688796680498,0.7170491803278689,main_interpretation,10.530846408177128
