subgroup_family,subgroup_name,subgroup_value,admissions,readmissions,readmission_rate,mean_predicted_probability,threshold,roc_auc,pr_auc_average_precision,brier_score,precision,recall_sensitivity,specificity,f1_score,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,pr_auc_difference_from_overall,recall_difference_from_overall,subgroup_size_flag,event_support_flag,interpretation_reliability
demographics,language_Kabuverdianu,included,294,42,0.14285714285714285,0.2183108871005903,0.38,0.7069160997732427,0.4226882171994285,0.11165185322837747,0.3684210526315789,0.3333333333333333,0.9047619047619048,0.35,0.6190476190476191,228,24,28,14,-0.17379081709666233,-0.20191723003183465,small,limited_event_support,supporting_interpretation
demographics,marital_status_WIDOWED,included,4495,710,0.15795328142380421,0.2191577958109627,0.38,0.7363793327999701,0.42111828209584296,0.11850148902097299,0.5065217391304347,0.32816901408450705,0.9400264200792602,0.39829059829059826,0.6340977170818836,3558,227,477,233,-0.17536075220024788,-0.20708154928066091,moderate,high_event_support,main_interpretation
demographics,language_Russian,included,569,76,0.1335676625659051,0.19722544528653763,0.38,0.7085246076652076,0.39735628012046975,0.10643045489691652,0.5428571428571428,0.25,0.9675456389452333,0.34234234234234234,0.6087728194726166,477,16,57,19,-0.1991227541756211,-0.28525056336516796,small,limited_event_support,supporting_interpretation
demographics,age_65plus,included,14783,2144,0.14503145504971926,0.20726665971610103,0.38,0.7348735420334832,0.3907978845348333,0.11231435550334999,0.45161290322580644,0.2677238805970149,0.9448532320594983,0.33616398243045387,0.6062885563282566,11942,697,1570,574,-0.20568114976125756,-0.26752668276815306,large,high_event_support,main_interpretation
demographics,age_70plus,included,11090,1520,0.13706041478809738,0.1997069654854726,0.38,0.73191538799978,0.37847726345749133,0.10776774402233727,0.4604767879548306,0.24144736842105263,0.955067920585162,0.31678895123003886,0.5982576445031074,9140,430,1153,367,-0.2180017708385995,-0.29380319494411533,large,high_event_support,main_interpretation
demographics,age_80plus,included,5476,700,0.12783053323593865,0.18721656507701176,0.38,0.7183402129696099,0.3340200584381712,0.10405655004803104,0.4532871972318339,0.18714285714285714,0.9669179229480737,0.2649140546006067,0.5770303900454654,4618,158,569,131,-0.26245897585791966,-0.3481077062223108,large,high_event_support,main_interpretation
diagnosis,new_self_harm_this_admission_flag,included,2147,731,0.34047508150908246,0.39214739744874805,0.38,0.9426565265443978,0.9274422346980641,0.07985668690003966,0.8296199213630406,0.86593707250342,0.9081920903954802,0.8473895582329317,0.8870645814494501,1286,130,98,633,0.33096320040197325,0.33068650913825204,moderate,high_event_support,main_interpretation
diagnosis,has_self_harm_or_suicidal_ideation,included,3648,1234,0.33826754385964913,0.40469093995813,0.38,0.9135559855462263,0.883581753399686,0.10754705088440908,0.7247899159663865,0.8387358184764991,0.8371996685998343,0.777610818933133,0.8379677435381667,2021,393,199,1035,0.2871027191035952,0.3034852551113312,moderate,high_event_support,main_interpretation
diagnosis,new_psychosis_this_admission_flag,included,1452,417,0.2871900826446281,0.3529594248406803,0.38,0.8914167216951077,0.8537695007471603,0.09942387642104594,0.7592137592137592,0.7410071942446043,0.9053140096618357,0.75,0.82316060195322,937,98,108,309,0.25729046645106946,0.2057566308794363,moderate,moderate_event_support,main_interpretation
diagnosis,self_harm_and_substance_use_flag,included,1867,617,0.3304767005891805,0.4094037471035157,0.38,0.8902807131280389,0.8501417563985108,0.12253718448105472,0.668856767411301,0.8249594813614263,0.7984,0.7387518142235123,0.8116797406807131,998,252,108,509,0.2536627221024199,0.2897089179962583,moderate,high_event_support,main_interpretation
diagnosis,has_psychotic_disorder,included,3064,946,0.3087467362924282,0.3869534911226526,0.38,0.874628923133436,0.8311904270120671,0.12074769250497736,0.678741658722593,0.7526427061310782,0.8408876298394712,0.7137844611528822,0.7967651679852747,1781,337,234,712,0.2347113927159763,0.21739214276591023,moderate,high_event_support,main_interpretation
diagnosis,psychosis_and_substance_use_flag,included,1077,318,0.29526462395543174,0.39022340887979956,0.38,0.8633753449175926,0.8104171014114643,0.12766085873568686,0.6240208877284595,0.7515723270440252,0.8102766798418972,0.68188302425107,0.7809245034429613,615,144,79,239,0.21393806711537344,0.21632176367885725,moderate,moderate_event_support,main_interpretation
diagnosis,has_severe_mental_illness,included,6453,1804,0.2795598946226561,0.3534244176944753,0.38,0.8426543342654333,0.7631138642913055,0.1307382970827976,0.6112469437652812,0.6929046563192904,0.8289954828995483,0.6495193556767992,0.7609500696094194,3854,795,554,1250,0.16663482999521462,0.15765409295412247,large,high_event_support,main_interpretation
diagnosis,has_bipolar_disorder,included,3801,980,0.2578268876611418,0.3299757567925284,0.38,0.8174409856108342,0.695519311030472,0.13754407708401742,0.5561403508771929,0.6469387755102041,0.8206309819213045,0.5981132075471698,0.7337848787157543,2315,506,346,634,0.0990402767343812,0.1116882121450361,moderate,high_event_support,main_interpretation
diagnosis,has_personality_disorder,included,904,267,0.29535398230088494,0.35235040513181504,0.38,0.7946836470110948,0.6757012689362834,0.1583467200073972,0.5426829268292683,0.6666666666666666,0.7645211930926217,0.5983193277310924,0.7155939298796441,487,150,89,178,0.07922223464019251,0.13141610330149867,small,moderate_event_support,supporting_interpretation
diagnosis,depression_and_substance_use_flag,included,5254,1364,0.2596117244004568,0.338510748360364,0.38,0.8101810040030457,0.6657642367540485,0.14523130434913079,0.527536231884058,0.6671554252199413,0.7904884318766067,0.5891874393007446,0.728821928548274,3075,815,454,910,0.06928520245795766,0.13190486185477335,large,high_event_support,main_interpretation
diagnosis,has_depression,included,19231,4191,0.21792938484738184,0.2853672846691129,0.38,0.7990146216309519,0.6156623960816711,0.13120749706899873,0.5307971014492754,0.5592937246480554,0.8622340425531915,0.54467294062972,0.7107638836006234,12968,2072,1847,2344,0.019183361785580222,0.024043161282887415,large,high_event_support,main_interpretation
diagnosis,has_substance_use,included,19942,4148,0.20800320930699026,0.2797723463691526,0.38,0.809586059132351,0.6119120438974142,0.1273146823671046,0.5136543673129039,0.5940212150433944,0.8522856781056097,0.550922302962549,0.7231534465745021,13461,2333,1684,2464,0.015433009601323322,0.05877065167822648,large,high_event_support,main_interpretation
diagnosis,has_anxiety_ptsd,included,15048,3142,0.20879851143009037,0.2703529236335617,0.38,0.8011566147852641,0.5968575006008692,0.12802094154856175,0.5286643941741556,0.5429662635264163,0.8722492860742482,0.5357198932328466,0.7076077748003322,10385,1521,1436,1706,0.00037846630477833543,0.00771570016124834,large,high_event_support,main_interpretation
diagnosis,has_cognitive_delirium,included,6322,932,0.14742170199304017,0.20667697634479198,0.38,0.737288493235765,0.39554125161197157,0.11299346332955902,0.45724907063197023,0.26394849785407726,0.9458256029684601,0.3346938775510204,0.6048870504112687,5098,292,686,246,-0.20093778268411927,-0.2713020655110907,large,high_event_support,main_interpretation
discharge_pathway,discharged_to_psych_facility_flag,included,571,307,0.5376532399299475,0.5542380951249898,0.38,0.9641076892705556,0.9761107967001248,0.06423583735450891,0.9133333333333333,0.8925081433224755,0.9015151515151515,0.9028006589785832,0.8970116474188135,238,26,33,274,0.37963176240403396,0.35725757995730756,small,moderate_event_support,supporting_interpretation
discharge_pathway,low_aftercare_quality_flag,included,5719,1918,0.3353733170134639,0.40568830367931036,0.38,0.9087231860119133,0.8664648749736266,0.11463118792996961,0.6712718407151564,0.8613138686131386,0.7871612733491187,0.7545101621374743,0.8242375709811287,2992,809,266,1652,0.2699858406775357,0.32606330524797067,large,high_event_support,main_interpretation
discharge_pathway,home_discharge_without_discharge_planning_order_flag,included,309,68,0.22006472491909385,0.3371299105099404,0.38,0.7606175250183062,0.5563480865378473,0.15734808003475081,0.4107142857142857,0.6764705882352942,0.7261410788381742,0.5111111111111111,0.7013058335367341,175,66,22,46,-0.04013094775824355,0.1412200248701262,small,limited_event_support,supporting_interpretation
discharge_pathway,discharged_to_facility_flag,included,16552,3290,0.19876752054132432,0.2683052489115185,0.38,0.7404721490979781,0.4957847561285951,0.13805829691135002,0.46943521594684384,0.42948328267477204,0.8795807570502187,0.44857142857142857,0.6545320198624953,11665,1597,1877,1413,-0.10069427816749571,-0.10576728069039593,large,high_event_support,main_interpretation
