ranking_view,subgroup_family,subgroup_name,admissions,readmissions,readmission_rate,mean_predicted_probability,pr_auc_average_precision,precision,recall_sensitivity,specificity,f1_score,interpretation_reliability
lowest_pr_auc,demographics,age_80plus,5476,700,0.12783053323593865,0.18721656507701176,0.3340200584381712,0.4532871972318339,0.18714285714285714,0.9669179229480737,0.2649140546006067,main_interpretation
lowest_pr_auc,demographics,age_70plus,11090,1520,0.13706041478809738,0.1997069654854726,0.37847726345749133,0.4604767879548306,0.24144736842105263,0.955067920585162,0.31678895123003886,main_interpretation
lowest_pr_auc,medical_complexity,age_65plus_x_charlson,11407,1736,0.15218725344086964,0.2175943754030564,0.3820892503632611,0.4335154826958106,0.27419354838709675,0.9356840037224693,0.3359209597741708,main_interpretation
lowest_pr_auc,care_process,care_team_touchpoints_last_12h_before_discharge_high,4750,734,0.15452631578947368,0.22567997065040685,0.38821117494501334,0.3844121532364597,0.39645776566757496,0.8839641434262948,0.3903420523138833,main_interpretation
lowest_pr_auc,demographics,age_65plus,14783,2144,0.14503145504971926,0.20726665971610103,0.3907978845348333,0.45161290322580644,0.2677238805970149,0.9448532320594983,0.33616398243045387,main_interpretation
lowest_pr_auc,discharge_pathway,home_discharge_without_followup_order_flag,8116,1170,0.1441596845736816,0.2094814261501949,0.39505955233229884,0.4467425025853154,0.36923076923076925,0.9229772530953066,0.4043051006083294,main_interpretation
lowest_pr_auc,diagnosis,has_cognitive_delirium,6322,932,0.14742170199304017,0.20667697634479198,0.39554125161197157,0.45724907063197023,0.26394849785407726,0.9458256029684601,0.3346938775510204,main_interpretation
lowest_pr_auc,demographics,language_Russian,569,76,0.1335676625659051,0.19722544528653763,0.39735628012046975,0.5428571428571428,0.25,0.9675456389452333,0.34234234234234234,supporting_interpretation
lowest_pr_auc,care_process,late_order_type_diversity_last_12h_high,9714,1679,0.17284331892114474,0.24121378354915388,0.40594793896452236,0.4222495390288875,0.4091721262656343,0.8830118232731798,0.41560798548094374,main_interpretation
lowest_pr_auc,discharge_pathway,protective_aftercare_present_flag,34278,5927,0.17290973802438883,0.23908909249897137,0.41507309006903736,0.4318646588585239,0.3919352117428716,0.8922083877111918,0.4109322483637007,main_interpretation
lowest_recall,demographics,age_80plus,5476,700,0.12783053323593865,0.18721656507701176,0.3340200584381712,0.4532871972318339,0.18714285714285714,0.9669179229480737,0.2649140546006067,main_interpretation
lowest_recall,demographics,age_70plus,11090,1520,0.13706041478809738,0.1997069654854726,0.37847726345749133,0.4604767879548306,0.24144736842105263,0.955067920585162,0.31678895123003886,main_interpretation
lowest_recall,demographics,language_Russian,569,76,0.1335676625659051,0.19722544528653763,0.39735628012046975,0.5428571428571428,0.25,0.9675456389452333,0.34234234234234234,supporting_interpretation
lowest_recall,prior_utilisation,low_psych_history_but_prior_admissions,10296,1400,0.13597513597513597,0.19405277896470943,0.4490938684602007,0.6604477611940298,0.25285714285714284,0.9795413669064749,0.365702479338843,main_interpretation
lowest_recall,diagnosis,has_cognitive_delirium,6322,932,0.14742170199304017,0.20667697634479198,0.39554125161197157,0.45724907063197023,0.26394849785407726,0.9458256029684601,0.3346938775510204,main_interpretation
lowest_recall,demographics,age_65plus,14783,2144,0.14503145504971926,0.20726665971610103,0.3907978845348333,0.45161290322580644,0.2677238805970149,0.9448532320594983,0.33616398243045387,main_interpretation
lowest_recall,medical_complexity,age_65plus_x_charlson,11407,1736,0.15218725344086964,0.2175943754030564,0.3820892503632611,0.4335154826958106,0.27419354838709675,0.9356840037224693,0.3359209597741708,main_interpretation
lowest_recall,demographics,marital_status_WIDOWED,4495,710,0.15795328142380421,0.2191577958109627,0.42111828209584296,0.5065217391304347,0.32816901408450705,0.9400264200792602,0.39829059829059826,main_interpretation
lowest_recall,demographics,language_Kabuverdianu,294,42,0.14285714285714285,0.2183108871005903,0.4226882171994285,0.3684210526315789,0.3333333333333333,0.9047619047619048,0.35,supporting_interpretation
lowest_recall,medical_complexity,vital_instability_near_discharge_score,1529,155,0.1013734466971877,0.14835149029556435,0.4540588074811952,0.4732142857142857,0.3419354838709677,0.9570596797671034,0.3970037453183521,main_interpretation
