subgroup_family,subgroup_name,subgroup_value,admissions,readmissions,readmission_rate,mean_predicted_probability,threshold,roc_auc,pr_auc_average_precision,brier_score,precision,recall_sensitivity,specificity,f1_score,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,pr_auc_difference_from_overall,recall_difference_from_overall,subgroup_size_flag,event_support_flag,interpretation_reliability,pr_auc_difference,recall_difference,precision_difference,readmission_rate_difference
demographics,age_40_to_64,included,21361,4796,0.22452132390805674,0.2947682264397146,0.38,0.7967759504789055,0.6105544594550312,0.13618423797249768,0.515360843483003,0.591117597998332,0.8390582553576819,0.5506458191706323,0.7150879266780069,13899,2666,1961,2835,0.014075425158940336,0.055867034633164,large,high_event_support,main_interpretation,0.03198101388903296,0.11510610120416881,-0.02491519164874101,0.049279169704259745
demographics,marital_status_DIVORCED,included,4289,914,0.21310328747959897,0.29318901678731246,0.38,0.7848341032498583,0.6045911566355169,0.13310177253428768,0.5140280561122245,0.5612691466083151,0.8562962962962963,0.5366108786610879,0.7087827214523057,2890,485,401,513,0.008112122339426042,0.026018583243147098,moderate,high_event_support,main_interpretation,0.008895957247664676,0.028847968737999774,-0.013186835499462646,0.01710030254419484
demographics,language_English,included,43738,8766,0.20042068681695552,0.2660649377922656,0.38,0.8020304513223694,0.6015467890464571,0.1236587049603458,0.527771606309709,0.5419803787360256,0.8784456136337642,0.5347816298964431,0.7102129961848949,30721,4251,4015,4751,0.005067754750366249,0.006729815370857595,large,high_event_support,main_interpretation,0.08873791775312123,0.11340895016459701,0.0381021848221057,0.03933708646740702
demographics,gender_F,included,23700,4464,0.18835443037974683,0.24852602263090745,0.38,0.7976480683992305,0.5805442484830852,0.11882576438044583,0.5334951456310679,0.4923835125448029,0.9000831773757538,0.5121155638397018,0.6962333449602783,17314,1922,2266,2198,-0.01593478581300567,-0.04286705082036507,large,high_event_support,main_interpretation,-0.030786464570958905,-0.08228178096704059,0.013554780368302377,-0.018496577246685797
demographics,race_HISPANIC/LATINO - PUERTO RICAN,included,1226,246,0.200652528548124,0.28599645170441235,0.38,0.7920939107350257,0.5699710023557983,0.13117596723014513,0.4847457627118644,0.5813008130081301,0.8448979591836735,0.5286506469500925,0.7130993860959018,828,152,103,143,-0.026508031940292498,0.046050249642962116,moderate,moderate_event_support,main_interpretation,-0.02712920595690116,0.04729882909983074,-0.04240035849366275,0.003177286410785879
demographics,race_WHITE - OTHER EUROPEAN,included,1262,248,0.196513470681458,0.2510608196125414,0.38,0.7808145638480627,0.5598964065394069,0.12576688342052206,0.5377777777777778,0.4879032258064516,0.8974358974358975,0.5116279069767442,0.6926695616211745,910,104,127,121,-0.03658262775668397,-0.04734733755871634,moderate,moderate_event_support,main_interpretation,-0.037615619082001284,-0.04864180781718419,0.012240578771191002,-0.0010730591928585775
demographics,language_Spanish,included,1361,246,0.1807494489346069,0.2585555293354059,0.38,0.8146633125524082,0.5595788239211079,0.11874212847013829,0.48518518518518516,0.532520325203252,0.8753363228699551,0.5077519379844961,0.7039283240366035,976,139,115,131,-0.03690021037498292,-0.0027302381619159766,moderate,moderate_event_support,main_interpretation,-0.03781191499919834,-0.0028042642379472182,-0.041833043981481466,-0.017307743818067184
demographics,race_WHITE,included,30368,5932,0.19533719704952582,0.2600828529230208,0.38,0.7809906321405238,0.5555571882278715,0.12727092887239078,0.5036859249099949,0.49527983816587995,0.8815272548698642,0.4994475138121547,0.6884035465178721,21541,2895,2994,2938,-0.04092184606821936,-0.039970725199288015,large,high_event_support,main_interpretation,-0.10704600117232055,-0.10997555008330817,-0.057496664742345716,-0.006233950959758233
demographics,insurance_grouped_Medicare,included,21195,3976,0.18759141306912008,0.25591092005071087,0.38,0.769407416681984,0.5290279943755272,0.1266488563389923,0.49742477636215776,0.4615191146881288,0.8923282420581915,0.47879973907371165,0.6769236783731601,15365,1854,2141,1835,-0.06745103992056367,-0.07373144867703918,large,high_event_support,main_interpretation,-0.11389379876220063,-0.1285987965976657,-0.04647724192316227,-0.018098454500944605
demographics,marital_status_MARRIED,included,14808,2585,0.17456780118854673,0.2347642408689237,0.38,0.7723246484455297,0.5143280098482026,0.11937037143958588,0.4950805008944544,0.42823984526112185,0.907633150617688,0.45924082140634725,0.6679364979394049,11094,1129,1478,1107,-0.08215102444788824,-0.10701071810404611,large,high_event_support,main_interpretation,-0.11226241694368166,-0.14808923106795452,-0.04022984393313184,-0.033509323923463896
demographics,marital_status_WIDOWED,included,4495,710,0.15795328142380421,0.2191577958109627,0.38,0.7363793327999701,0.42111828209584296,0.11850148902097299,0.5065217391304347,0.32816901408450705,0.9400264200792602,0.39829059829059826,0.6340977170818836,3558,227,477,233,-0.17536075220024788,-0.20708154928066091,moderate,high_event_support,main_interpretation,-0.1883798664414849,-0.22415994398263195,-0.020289694505727485,-0.0437760277898053
demographics,age_65plus,included,14783,2144,0.14503145504971926,0.20726665971610103,0.38,0.7348735420334832,0.3907978845348333,0.11231435550334999,0.45161290322580644,0.2677238805970149,0.9448532320594983,0.33616398243045387,0.6062885563282566,11942,697,1570,574,-0.20568114976125756,-0.26752668276815306,large,high_event_support,main_interpretation,-0.25817066550296325,-0.3474677570336471,-0.08569689592209379,-0.07650121136994234
demographics,age_70plus,included,11090,1520,0.13706041478809738,0.1997069654854726,0.38,0.73191538799978,0.37847726345749133,0.10776774402233727,0.4604767879548306,0.24144736842105263,0.955067920585162,0.31678895123003886,0.5982576445031074,9140,430,1153,367,-0.2180017708385995,-0.29380319494411533,large,high_event_support,main_interpretation,-0.25462447758988205,-0.3510644920738826,-0.0713450557556079,-0.07909213087305392
demographics,age_80plus,included,5476,700,0.12783053323593865,0.18721656507701176,0.38,0.7183402129696099,0.3340200584381712,0.10405655004803104,0.4532871972318339,0.18714285714285714,0.9669179229480737,0.2649140546006067,0.5770303900454654,4618,158,569,131,-0.26245897585791966,-0.3481077062223108,large,high_event_support,main_interpretation,-0.28084186411135836,-0.3763795932574213,-0.0748197941784085,-0.0788849002692778
demographics,race_HISPANIC OR LATINO,included,550,119,0.21636363636363637,0.2950111286385786,0.38,0.8420519019672835,0.6521374363661318,0.12449811955307437,0.5256410256410257,0.6890756302521008,0.8283062645011601,0.5963636363636363,0.7586909473766305,357,74,37,82,0.05565840207004091,0.15382506688693287,small,moderate_event_support,supporting_interpretation,0.056455465350787715,0.1558147606868835,-0.00018962816390466486,0.019027671884109976
demographics,race_WHITE - RUSSIAN,included,500,85,0.17,0.23588980090816772,0.38,0.771566265060241,0.5648461391586042,0.11167931282989642,0.6190476190476191,0.4588235294117647,0.9421686746987952,0.527027027027027,0.7004961020552799,391,24,46,39,-0.03163289513748668,-0.07642703395340328,small,limited_event_support,supporting_interpretation,-0.03199093195590064,-0.07713055332594382,0.09384333166568126,-0.027853056501896234
demographics,language_Chinese,included,308,50,0.16233766233766234,0.23246089403403508,0.38,0.7711627906976745,0.4926122113716312,0.11518871495104037,0.46808510638297873,0.44,0.9031007751937985,0.4536082474226804,0.6715503875968992,233,25,28,22,-0.10386682292445965,-0.09525056336516796,small,limited_event_support,supporting_interpretation,-0.10441964604809845,-0.09576437587657788,-0.05802994817788576,-0.0354516383899906
demographics,language_Kabuverdianu,included,294,42,0.14285714285714285,0.2183108871005903,0.38,0.7069160997732427,0.4226882171994285,0.11165185322837747,0.3684210526315789,0.3333333333333333,0.9047619047619048,0.35,0.6190476190476191,228,24,28,14,-0.17379081709666233,-0.20191723003183465,small,limited_event_support,supporting_interpretation,-0.17449756115364567,-0.2028313750853365,-0.15803957395605867,-0.0550437467049025
demographics,language_Russian,included,569,76,0.1335676625659051,0.19722544528653763,0.38,0.7085246076652076,0.39735628012046975,0.10643045489691652,0.5428571428571428,0.25,0.9675456389452333,0.34234234234234234,0.6087728194726166,477,16,57,19,-0.1991227541756211,-0.28525056336516796,small,limited_event_support,supporting_interpretation,-0.20082506091993568,-0.2875960186086768,0.01709267348882204,-0.06477146451018606
