config_number,subsample,reg_lambda,reg_alpha,num_leaves,n_estimators,min_child_samples,max_depth,learning_rate,colsample_bytree,scale_pos_weight_multiplier,effective_scale_pos_weight,best_iteration,training_roc_auc,validation_roc_auc,training_pr_auc_average_precision,validation_pr_auc_average_precision,validation_brier_score,elapsed_seconds,pr_auc_gap,passes_pr_auc_gap_filter,selected_config,max_allowed_pr_auc_gap,gap_filter_used_for_selection
19,0.75,90.0,0.5,127,650,175,-1,0.017,0.8,0.25,1.0073937274902074,648,0.9192771611603503,0.796171840061405,0.7763293662541272,0.593578662008065,0.11846659052583948,26.829806875997747,0.1827507042460622,False,False,0.13,False
49,0.95,45.0,0.0,191,575,150,-1,0.014,1.0,0.25,1.0073937274902074,571,0.9365683133627541,0.7955223311789401,0.8117779464274388,0.5935430856211651,0.11850750150310778,32.72847075800382,0.21823486080627374,False,False,0.13,False
46,0.95,45.0,1.0,127,500,150,-1,0.014,1.0,0.35,1.4103512184862903,499,0.9106889449782766,0.7955637029092575,0.7525347778943541,0.5935321397979584,0.1205872753738498,23.863871789995756,0.1590026380963957,False,False,0.13,False
15,0.85,67.5,0.0,159,650,100,10,0.014,1.0,0.3,1.2088724729882487,585,0.877474361504973,0.7957864852124402,0.7025923060268014,0.593410140639596,0.11926831855073729,19.970113032999507,0.10918216538720549,True,False,0.13,False
21,0.95,33.75,0.0,159,350,100,-1,0.014,0.9,0.45,1.8133087094823734,350,0.9096234350346383,0.7964379163425664,0.7441826420456503,0.5932669455074238,0.12512915792514995,19.550791964000382,0.15091569653822656,False,False,0.13,False
32,0.75,67.5,1.0,191,425,100,-1,0.014,0.8,0.5,2.014787454980415,425,0.9192051214612874,0.7962240135834204,0.7590007140004424,0.5931374498632441,0.12763192245385155,24.805605321998883,0.16586326413719832,False,False,0.13,False
48,0.85,67.5,1.5,191,650,125,10,0.014,1.0,0.25,1.0073937274902074,606,0.8720675841003036,0.7959995198597389,0.6940902877192174,0.5930549773816204,0.11859036070050541,19.72014232500078,0.10103531033759705,True,False,0.13,False
40,0.75,67.5,0.0,159,500,125,10,0.014,0.8,0.4,1.6118299639843319,496,0.8685217748463894,0.7961988135366566,0.6842509148100226,0.5930331826660309,0.12319066275581705,14.325639326998498,0.09121773214399176,True,False,0.13,False
36,0.75,90.0,1.5,191,500,125,10,0.024,0.9,0.5,2.014787454980415,469,0.8939881432707777,0.7957633190277182,0.7230640820593515,0.5927988808201384,0.1285480534739483,14.232647057004215,0.13026520123921304,False,False,0.13,False
34,0.75,33.75,1.5,127,350,175,-1,0.02,0.9,0.3,1.2088724729882487,350,0.910913649153017,0.7950389541008307,0.7566796118718726,0.5927826028396926,0.11924088484556142,16.20257004599989,0.16389700903217996,False,False,0.13,False
18,0.85,90.0,0.0,159,425,150,-1,0.02,0.9,0.35,1.4103512184862903,425,0.9209589821238858,0.7952538365862041,0.7705976610615267,0.5927019392068473,0.12065487994733759,21.199937608005712,0.1778957218546794,False,False,0.13,False
11,0.95,67.5,1.5,159,650,125,8,0.014,0.8,0.3,1.2088724729882487,645,0.85139143267872,0.7957275156148208,0.6611290397361943,0.5925677842350622,0.11944582595993991,13.212748703001125,0.06856125550113212,True,False,0.13,False
7,0.85,90.0,0.5,223,500,100,-1,0.017,1.0,0.5,2.014787454980415,496,0.9477496914177161,0.7953076843239253,0.8223120588922058,0.5924369820440147,0.12656572807228017,33.474364818997856,0.22987507684819108,False,False,0.13,False
9,0.95,45.0,1.0,159,500,100,8,0.014,0.8,0.35,1.4103512184862903,500,0.8497588598313781,0.7956753792975986,0.6593310839142629,0.5924274708814934,0.12114330796794182,11.110810835001757,0.06690361303276948,True,False,0.13,False
10,0.85,90.0,0.0,191,650,125,8,0.024,1.0,0.3,1.2088724729882487,541,0.8636888336147612,0.7952243207834,0.6810798827046421,0.5921992723824928,0.11948805496515968,12.158970755001064,0.08888061032214933,True,False,0.13,False
6,0.85,67.5,0.0,159,425,150,10,0.02,0.8,0.4,1.6118299639843319,425,0.8763074605692079,0.7957158333096773,0.6955119300135437,0.592188758322012,0.12333275935336294,11.620731758994225,0.10332317169153171,True,False,0.13,False
27,0.75,90.0,1.5,191,575,100,8,0.017,0.9,0.25,1.0073937274902074,572,0.849647931701262,0.7957413433963868,0.6602656189503071,0.5921593696647264,0.11873388506692006,12.802275570000347,0.06810624928558073,True,False,0.13,False
5,0.85,33.75,1.5,159,500,125,8,0.024,0.9,0.3,1.2088724729882487,315,0.8529205712551661,0.794990240624606,0.6645760968089557,0.591948880150506,0.11953845765040519,8.252815635998559,0.07262721665844973,True,False,0.13,False
45,0.75,67.5,1.5,127,500,150,-1,0.014,0.9,0.4,1.6118299639843319,500,0.9033270157073534,0.7958281297779092,0.7348027476035102,0.5919195737248804,0.12296588375035993,22.50000599100167,0.1428831738786298,False,False,0.13,False
