work_package,model_family,model,threshold_role,threshold,true_positives,false_negatives,true_negatives,false_positives,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms,source_file
WP3.4,Calibrated Targeted XGBoost,Calibrated Targeted XGBoost exploratory held-out F1 threshold,exploratory,0.24,4871,4448,33453,4399,0.8124,0.7032,0.5255,0.5227,0.8838,0.5241,0.7932,0.5844,0.1204,14.9382,0.2857,0.0716,0.0015,t3_4_calibrated_targeted_xgboost_performance.csv
WP3.4,CatBoost,CatBoost default threshold,default,0.5,5885,3434,30549,7303,0.7724,0.7193,0.4462,0.6315,0.8071,0.5229,0.7977,0.5868,0.1654,55.762,0.9623,0.2574,0.0055,t3_4_catboost_performance.csv
WP3.4,CatBoost,CatBoost official balanced precision-recall threshold,official,0.6,4753,4566,33837,4015,0.8181,0.702,0.5421,0.51,0.8939,0.5256,0.7977,0.5868,0.1654,55.762,0.9623,0.2574,0.0055,t3_4_catboost_performance.csv
WP3.4,CatBoost,CatBoost training Youden threshold,recall sensitivity,0.47,6195,3124,29176,8676,0.7498,0.7178,0.4166,0.6648,0.7708,0.5122,0.7977,0.5868,0.1654,55.762,0.9623,0.2574,0.0055,t3_4_catboost_performance.csv
WP3.4,CatBoost,CatBoost balanced precision-recall threshold,balanced precision-recall,0.6,4753,4566,33837,4015,0.8181,0.702,0.5421,0.51,0.8939,0.5256,0.7977,0.5868,0.1654,55.762,0.9623,0.2574,0.0055,t3_4_catboost_performance.csv
WP3.4,CatBoost,CatBoost exploratory held-out F1 threshold,exploratory,0.56,5166,4153,32729,5123,0.8034,0.7095,0.5021,0.5544,0.8647,0.5269,0.7977,0.5868,0.1654,55.762,0.9623,0.2574,0.0055,t3_4_catboost_performance.csv
WP3.4,Targeted CatBoost,Targeted CatBoost default threshold,default,0.5,3431,5888,36273,1579,0.8417,0.6632,0.6848,0.3682,0.9583,0.4789,0.7979,0.5912,0.1202,49.5074,0.9577,0.2183,0.0046,t3_4_catboost_targeted_performance.csv
WP3.4,Targeted CatBoost,Targeted CatBoost official balanced precision-recall threshold,official,0.35,4809,4510,33776,4076,0.818,0.7042,0.5412,0.516,0.8923,0.5283,0.7979,0.5912,0.1202,49.5074,0.9577,0.2183,0.0046,t3_4_catboost_targeted_performance.csv
WP3.4,Targeted CatBoost,Targeted CatBoost training Youden threshold,recall sensitivity,0.26,6004,3315,30000,7852,0.7633,0.7184,0.4333,0.6443,0.7926,0.5181,0.7979,0.5912,0.1202,49.5074,0.9577,0.2183,0.0046,t3_4_catboost_targeted_performance.csv
WP3.4,Targeted CatBoost,Targeted CatBoost balanced precision-recall threshold,balanced precision-recall,0.35,4809,4510,33776,4076,0.818,0.7042,0.5412,0.516,0.8923,0.5283,0.7979,0.5912,0.1202,49.5074,0.9577,0.2183,0.0046,t3_4_catboost_targeted_performance.csv
