config_number,subsample,rsm,learning_rate,l2_leaf_reg,iterations,depth,training_roc_auc,validation_roc_auc,training_pr_auc_average_precision,validation_pr_auc_average_precision,validation_brier_score,elapsed_seconds
21,0.75,0.6,0.065,45,700,4,0.8317918687201962,0.7908183183158044,0.6152270515040208,0.576162855971587,0.17515528565628097,8.55720074599958
30,0.95,0.9,0.035,45,500,5,0.8117954925846279,0.7912160375577927,0.5936043364926928,0.5761413575126136,0.17772776417360583,8.580651510994358
69,0.85,0.9,0.05,30,350,6,0.8222090166739663,0.7919950563262591,0.6060940715433831,0.5760929771477694,0.17623338720117399,7.686061883003276
10,0.9,0.6,0.065,6,500,4,0.825411003974337,0.7908403311519295,0.6083469931856011,0.576079928690498,0.1758133488487463,6.752819092005666
70,0.95,0.6,0.045,20,700,4,0.8239301559424431,0.7917923646115396,0.6064940691640638,0.5760457808449734,0.17597458219562723,9.187440736001008
62,0.85,1.0,0.05,20,700,4,0.8269574849310015,0.791395290252638,0.610255847416166,0.5759731304731527,0.17566263575259417,8.874549877997197
9,0.85,0.9,0.035,30,350,7,0.8156348023689728,0.7916584769615084,0.5992741765885383,0.575851675113106,0.17729766240019493,10.502653727999132
73,0.75,0.9,0.05,20,700,4,0.8242270486187464,0.7907353392248115,0.6052486449602015,0.5744198868337792,0.17629122869392863,8.815930011005548
55,0.95,0.75,0.05,45,500,4,0.8130230691174425,0.7915005674165057,0.5938501890707848,0.5743523173385625,0.17758592624813935,6.967357198998798
29,0.95,1.0,0.045,6,350,5,0.81105858953894,0.7914428131754724,0.5920896102567424,0.5739515235914743,0.17782163451799146,6.004574534999847
13,0.9,0.6,0.025,45,350,8,0.8116133486804007,0.7899006620853428,0.5952515759519328,0.5732542173128772,0.17857909515049675,14.877959894001833
14,0.85,0.75,0.025,10,1000,4,0.8145734175612982,0.7914118091809301,0.5942897254612178,0.5730221762115223,0.17745682674870655,12.605634100997122
5,0.75,1.0,0.05,6,700,4,0.8258374554048381,0.7911191562756469,0.6078023458558847,0.5729978881411536,0.1760472260804944,8.516410324999015
15,0.85,0.6,0.05,45,500,4,0.8117329679787394,0.7904117443329751,0.590734385147527,0.5715003728632652,0.1781189837586484,6.528209226999024
34,0.9,1.0,0.025,45,500,5,0.7988251240769322,0.789386429831865,0.5776741153945167,0.5701622256762192,0.1800851079177581,8.030283521999081
40,0.75,0.9,0.025,45,850,4,0.8064039178353434,0.7901741545219989,0.5834681919135949,0.5699000835583053,0.17907760838454556,10.762242659999174
33,0.85,1.0,0.035,20,350,4,0.7913589393657632,0.7857211003922863,0.5664554544913286,0.5613376140855519,0.18233222407538624,4.943011605995707
68,0.85,0.6,0.025,20,350,4,0.7848413809236262,0.7827710517091937,0.5584044088403909,0.5573788180404483,0.18410549991078837,4.846620910997444
