processed_feature_name,feature_importance
cat__last_service_OMED,123
num__hemoglobin_lab_first_24h_mean,123
num__discharged_to_psych_facility_flag,122
num__systolic_bp_arterial_vital_rate_of_change_per_day,121
num__psychiatric_aftercare_planning_score,120
num__medical_complexity_score,119
num__num_antibiotic_prescriptions,119
num__previous_psych_admissions_180d,119
num__previous_nonpsych_admissions,118
num__hemoglobin_lab_first_24h_max,118
num__previous_psych_admissions,117
num__time_between_last_two_admissions_days_filled,116
num__emar_unique_medication_count,116
num__previous_psych_admissions_60d,115
num__num_abnormal_lab_flags,115
num__wbc_lab_first_24h_mean,115
num__num_critical_or_priority_labs,114
num__has_cancer,113
num__num_provider_order_changes,113
num__ed_only_crisis_pattern_score,113
num__potassium_lab_first_24h_mean,113
num__urea_nitrogen_lab_min_value,113
num__platelet_lab_first_24h_mean,112
num__potassium_lab_min_value,112
num__num_discontinued_pharmacy_orders,111
num__num_started_emar_events,111
num__creatinine_lab_first_24h_mean,111
num__potassium_lab_max_value,110
cat__discharge_location_grouped_Facility / rehab / long-term care,110
num__safety_order_proportion,110
num__last_order_close_to_discharge_hours_filled,109
num__urea_nitrogen_lab_first_24h_mean,109
num__emar_administration_record_count,108
num__orders_last_12h_before_discharge,108
num__safety_order_density_per_day,107
num__has_alcohol_related_disorder,107
num__urea_nitrogen_lab_max_value,107
num__last_order_hours_from_admission_filled,106
num__platelet_lab_first_72h_mean,106
num__admission_frequency_acceleration,105
num__late_order_severity_score_last_12h,105
num__new_substance_use_this_admission_flag,105
num__num_lab_events_first_72h,104
num__discharged_against_advice,103
num__num_dose_due_records,103
num__emar_infusion_administration_count,103
num__discharged_home_with_services_flag,102
num__num_prescription_rows,101
num__sodium_lab_max_value,101
num__late_routine_care_order_share_last_12h,100
num__late_discontinued_lab_orders,98
num__has_dementia,98
num__num_unique_poe_order_categories,97
num__potassium_lab_value_change,96
num__late_psych_safety_activity_score_near_discharge,96
num__num_infusion_pharmacy_orders,96
num__num_medication_frequency_types,95
num__potassium_lab_first_24h_min,95
num__orders_after_72h_to_total_ratio,95
num__potassium_lab_first_72h_max,94
num__sodium_lab_first_72h_min,94
num__heart_rate_72h_std,94
num__num_care_team_touchpoints,94
num__low_order_activity_with_self_harm_flag,94
num__spo2_vital_mean_value,93
num__previous_height_cm_before_admission,93
num__urea_nitrogen_lab_value_range,93
num__num_lab_events_last_24h_before_discharge,93
num__first_safety_order_hours_from_admission,92
num__not_married_flag,92
num__emar_total_delay_hours,91
num__num_unique_pharmacy_medications,91
cat__first_service_OBS,91
num__elixhauser_lymphoma,91
cat__marital_status_Unknown,91
num__potassium_lab_first_72h_min,91
num__urea_nitrogen_lab_first_24h_min,89
num__emar_administered_event_count,89
num__orders_last_6h_before_discharge,89
num__quiet_smi_psychosis_low_activity_score,88
num__urea_nitrogen_lab_first_72h_max,87
cat__gender_F,87
num__emar_missed_or_not_given_count_first_24h,87
num__num_unique_order_subtypes,86
num__pharmacy_infusion_complexity_score,86
num__days_since_previous_icu_admission,86
num__discharged_to_acute_hospital_flag,86
num__medicine_service_involved_anytime,86
num__num_prn_benzodiazepine_orders,85
num__num_medication_route_types,85
num__num_unique_order_providers_first_72h,85
num__older_medical_complexity_score,83
num__charlson_comorbidity_index_simplified,83
num__num_lab_events_first_24h,83
num__discontinued_orders_per_hospital_day,82
num__potassium_lab_first_value,81
num__elixhauser_solid_tumour,81
num__previous_psych_admissions_90d,81
num__potassium_lab_first_24h_max,81
cat__discharge_location_grouped_Other,80
num__num_psych_med_classes,80
num__num_scheduled_psychotropic_orders,80
num__sodium_lab_first_24h_max,79
num__urea_nitrogen_lab_first_24h_max,79
num__respiratory_rate_vital_rate_of_change_per_day,79
num__num_unique_enter_providers,79
num__late_orders_without_prior_psych_history_flag,79
cat__first_service_MED,78
num__sodium_lab_first_72h_max,77
num__late_nonroutine_order_count_last_12h,77
cat__first_service_NMED,76
num__height_change_recent,75
num__emergency_room_admission_flag,75
num__mean_oxygen_flow_rate,74
num__antipsychotic_plus_benzodiazepine,74
num__days_since_previous_icu_admission_filled,73
num__late_followup_aftercare_order_share_last_12h,73
num__heart_rate_vital_first_value,71
num__emar_delayed_or_not_given_last_24h,71
num__mean_bp_noninvasive_vital_mean_value,71
num__quiet_risk_summary_score,71
cat__anchor_year_group_2008 - 2010,71
num__safety_orders_last_24h_before_discharge,69
cat__last_service_VSURG,69
num__drg_severity,68
num__sodium_lab_value_range,68
num__systolic_bp_noninvasive_vital_max_value,68
num__emar_missed_or_not_given_count_first_72h,68
num__new_antidepressant_started_flag,67
num__latest_weight_kg_before_admission_filled,67
num__num_transfer_events,67
num__num_unique_procedure_codes,67
num__respiratory_rate_vital_mean_value,67
num__num_unique_order_providers_first_24h,66
cat__race_UNABLE TO OBTAIN,66
num__icu_event_density_per_day,66
num__previous_ed_visits_365d,65
num__chart_acuity_event_density_per_day,64
num__systolic_bp_noninvasive_vital_first_value,64
num__admitted_from_hospital_transfer_flag,64
num__late_imaging_order_share_last_12h,64
num__spo2_vital_relative_range,63
num__spo2_72h_mean,63
num__elixhauser_peripheral_vascular,63
num__late_clinical_order_count_last_6h,63
num__depression_without_antidepressant_continuity_flag,63
cat__insurance_Medicaid,63
num__hypotension_72h_hour_percentage,62
num__night_discharge_flag,62
num__psychotropic_pharmacy_orders_per_day,61
num__pain_max_score,60
num__late_medical_to_psych_order_ratio_last_12h,60
num__respiratory_rate_vital_relative_range,60
num__late_consult_order_share_last_12h,58
cat__first_service_NSURG,58
num__vital_72h_mean_instability_score,58
num__sodium_lab_count,57
num__drg_mortality,57
num__respiratory_rate_vital_value_change,57
num__num_positive_blood_culture,57
num__heart_rate_vital_min_value,56
num__night_discharge,56
num__mean_bp_noninvasive_72h_min,56
num__previous_icu_admissions,56
num__mean_bp_noninvasive_vital_max_value,55
num__late_medication_orders_last_6h,55
num__heart_rate_vital_mean_value,55
num__psychotropic_orders_last_48h_before_discharge,55
num__elixhauser_depression,55
num__late_lab_order_share_last_6h,54
num__orders_after_72h_count,54
num__spo2_72h_std,53
num__num_pharmacy_records,53
num__num_prn_psychotropic_orders,53
num__mean_bp_noninvasive_vital_relative_range,53
num__systolic_bp_noninvasive_vital_last_value,53
num__medicaid_flag,53
cat__first_service_SURG,53
num__num_outputevents,52
num__has_cognitive_delirium,52
num__admitted_from_emergency_transfer_flag,52
num__care_team_touchpoints_after_72h,52
num__num_unique_order_types,52
num__num_discontinued_orders,52
num__emar_not_given_event_count,52
num__elixhauser_valvular_disease,51
num__antipsychotic_prescription_count,51
num__num_distinct_specimen_types,50
cat__race_WHITE,50
num__num_unique_order_providers,50
num__mean_bp_noninvasive_vital_last_value,49
num__mean_bp_noninvasive_vital_first_value,49
num__heart_rate_vital_last_value,49
num__latest_bmi_before_admission_filled,49
num__systolic_bp_noninvasive_vital_mean_value,48
num__num_datetimeevents,48
num__care_team_touchpoints_last_24h_before_discharge,47
num__num_floor_stock_pharmacy_orders,47
num__heart_rate_vital_value_range,47
cat__last_service_TRAUM,47
num__spo2_vital_last_value,47
num__pharmacy_logistics_complexity_score,47
num__late_clinical_order_count_last_12h,47
num__emar_nonpsychotropic_not_given_count,47
num__late_orders_and_psych_facility_discharge_flag,46
num__no_recent_psych_history_and_long_ed_los,46
num__low_order_activity_with_smi_flag,46
num__psychosis_or_self_harm_low_aftercare_quality_flag,46
num__systolic_bp_noninvasive_vital_value_change,46
num__elixhauser_weight_loss,45
num__late_discharge_admin_orders_last_6h,45
num__friday_discharge,45
num__previous_total_admissions_365d,45
num__late_medication_orders_last_12h,44
num__respiratory_rate_vital_first_value,44
num__systolic_bp_noninvasive_vital_value_range,44
cat__first_service_ORTHO,44
num__num_pain_chart_events,44
num__num_med_orders_with_duration,43
num__creatinine_lab_first_24h_max,43
num__prior_discharge_instability_score,43
num__prior_instability_score,43
num__mean_bp_noninvasive_vital_value_range,43
num__heart_rate_vital_relative_range,43
num__previous_ed_visits_180d,43
cat__anchor_year_group_2011 - 2013,43
num__late_discharge_hour_with_no_followup_flag,43
num__num_careunit_transfers,43
num__mean_bp_noninvasive_72h_std,42
num__num_abnormal_labs,42
num__num_gcs_chart_events,42
num__has_other_psych_diagnosis,42
num__previous_total_admissions_60d,42
num__emar_psychotropic_not_given_count,41
num__had_one_hr_max_order,41
num__num_oxygen_support_chart_events,41
num__followup_order_last_48h_before_discharge,41
num__safety_order_activity_duration_hours,40
num__late_admin_aftercare_order_count_last_12h,40
num__quiet_medical_frailty_low_psych_history_score,39
num__mean_bp_arterial_vital_value_range,38
num__heart_rate_vital_max_value,38
num__respiratory_rate_vital_last_value,38
num__late_discharge_admin_orders_last_12h,38
num__had_antidepressant,38
num__previous_total_admissions_180d,38
num__num_stopped_inputevents,38
cat__drg_severity_category_Minor,38
num__aftercare_quality_score,38
num__late_order_type_diversity_last_6h,38
num__previous_nonpsych_admissions_365d,37
num__late_order_type_diversity_last_12h,37
cat__first_service_OMED,37
num__num_icu_procedure_events,37
num__previous_ed_visits_60d,37
num__systolic_bp_arterial_vital_first_value,36
num__tachycardia_72h_hour_percentage,35
num__respiratory_culture_positive,35
cat__discharge_season_autumn,35
num__num_cam_delirium_chart_events,35
num__psychotropic_medication_change_count,35
num__home_discharge_low_aftercare_quality_flag,35
num__mean_bp_arterial_vital_last_value,34
num__substance_use_without_followup_or_withdrawal_plan_flag,34
num__ed_admission_with_self_harm_flag,34
num__spo2_72h_min,34
num__depression_and_previous_psych_365d,34
num__previous_total_admissions_90d,34
num__mean_bp_noninvasive_vital_min_value,34
num__spo2_vital_value_change,33
num__has_substance_use,33
num__previous_ed_visits_30d,33
num__num_recurrent_psych_diagnosis_groups,32
num__age_65plus_x_charlson,32
num__emar_complete_dose_not_given_rate,32
num__physical_comorbidity_count,32
num__systolic_bp_noninvasive_vital_relative_range,32
num__num_stopped_emar_events,31
num__prn_psychotropic_orders_last_24h_before_discharge,31
num__vital_72h_abnormal_window_percentage,31
cat__time_since_previous_psych_category_181-365 days,31
cat__race_OTHER,31
cat__first_service_VSURG,31
num__weekend_or_friday_discharge_with_no_followup_flag,31
num__previous_admission_had_home_discharge_no_followup,30
num__elixhauser_metastatic_cancer,30
num__discharged_to_rehab_flag,30
num__heart_rate_vital_value_change,30
num__psychotropic_orders_last_24h_before_discharge,30
num__poe_order_density_first_72h,29
num__glucose_lab_first_24h_count,29
cat__psych_diagnosis_burden_category_2 diagnoses,29
num__spo2_vital_min_value,29
num__low_order_activity_with_psychosis_flag,29
cat__marital_status_SINGLE,28
cat__insurance_Private,28
num__mean_bp_arterial_vital_max_value,27
num__had_central_line_procedure,27
num__num_followup_referral_orders,27
num__num_social_work_case_management_orders,27
cat__drg_severity_category_Major,27
num__num_observation_safety_orders,27
num__had_benzodiazepine_order,27
cat__last_service_MED,26
num__num_dosing_by_pharmacy_orders,26
num__safety_orders_first_72h,26
cat__admission_type_SURGICAL SAME DAY ADMISSION,26
num__respiratory_rate_vital_min_value,25
num__emar_delayed_administration_count,25
cat__admission_location_CLINIC REFERRAL,25
num__respiratory_rate_vital_max_value,25
num__new_smi_this_admission_flag,25
num__age_65plus_x_elixhauser_group_count,24
num__weight_change_recent_filled,24
num__elixhauser_hypertension,24
num__self_harm_and_substance_use_flag,24
num__previous_weight_kg_before_admission_filled,24
num__num_paused_inputevents,24
num__elixhauser_congestive_heart_failure,24
cat__drg_mortality_category_Minor,23
num__elixhauser_chronic_pulmonary,23
num__month_end_discharge_flag,23
num__has_liver_disease,23
num__num_oral_pharmacy_orders,23
num__previous_ed_visits_90d,23
num__respiratory_rate_vital_value_range,22
num__late_medication_change_home_discharge_flag,22
num__previous_admission_had_safety_order,22
num__had_lockout_interval_order,22
num__vital_72h_hourly_rows,22
num__vital_72h_hours_with_2plus_instability_indicators,22
num__had_discharge_planning_order,22
cat__last_icu_careunit_Medical/Surgical Intensive Care Unit (MICU/SICU),22
num__hemoglobin_lab_abnormal,22
num__substance_use_on_current_and_previous_admission_flag,21
num__had_basal_rate_order,21
num__latest_height_cm_before_admission_filled,21
num__hcpcs_observation_to_total_ratio,21
num__late_admin_to_total_late_order_ratio,21
num__elixhauser_other_neurological,21
num__vital_72h_abnormal_window_count,21
cat__psych_diagnosis_burden_category_3-4 diagnoses,20
num__previous_admission_had_followup_order,20
cat__anchor_year_group_2020 - 2022,20
num__has_multiple_psych_diagnosis_groups,20
num__spo2_72h_observed_hours,20
cat__discharge_location_OTHER FACILITY,20
num__previous_admission_had_discharge_planning_order,19
num__vital_72h_longest_abnormal_run_hours,19
num__has_severe_mental_illness,19
num__night_admission,19
num__systolic_bp_noninvasive_vital_min_value,19
num__emar_new_iv_bag_count,18
cat__last_service_NMED,18
num__previous_nonpsych_admissions_180d,18
num__discontinued_orders_last_12h_before_discharge,18
num__max_oxygen_flow_rate,18
num__spo2_vital_first_value,18
num__polypharmacy_10plus_x_age_65plus,18
num__num_change_dose_rate_inputevents,18
cat__drg_mortality_category_Moderate,18
num__num_inputevent_rate_changes,18
num__had_social_work_case_management_order,18
num__substance_use_x_benzodiazepine,18
num__late_followup_or_aftercare_orders_last_6h,18
num__previous_bmi_before_admission_filled,17
num__recent_psych_admission_90d_x_substance_use,17
cat__discharge_season_summer,17
num__num_hcpcs_events,17
num__num_rass_sedation_chart_events,16
num__num_iv_route_pharmacy_orders,16
cat__discharge_season_winter,16
cat__nonpsych_diagnosis_burden_category_6-10,16
num__icu_event_interruption_score,16
cat__psych_medication_burden_category_1 class,16
num__facility_discharge_with_discharge_planning_flag,16
num__mean_bp_noninvasive_vital_value_change,16
num__emergency_admission_with_recent_psych_history_flag,16
num__mean_bp_arterial_vital_rate_of_change_per_day,15
num__mean_bp_arterial_vital_relative_range,15
num__emar_started_stopped_activity_last_24h,15
num__finer_substance_use_category_count,15
num__had_prn_antipsychotic,15
num__mean_bp_arterial_vital_first_value,15
num__late_routine_care_orders_last_6h,15
num__service_change_last_24h_before_discharge_flag,15
num__ed_admission_with_smi_flag,15
num__had_benzodiazepine,15
cat__psych_medication_burden_category_2 classes,14
num__prior_psych_90d_x_substance_use,14
num__no_recent_psych_history_and_discharge_to_facility,14
num__discontinued_orders_last_24h_before_discharge,14
num__previous_nonpsych_admissions_90d,14
num__medical_to_psych_service_transfer,14
num__elixhauser_obesity,14
num__admission_source_high_acuity_flag,14
num__sodium_lab_abnormal,14
num__psych_diagnosis_group_count_increased_from_previous_flag,14
num__discharged_to_psych_facility_or_transfer_flag,13
num__discharged_home_flag,13
num__late_routine_care_orders_last_12h,13
num__late_order_severity_x_low_aftercare_score,13
num__previous_height_cm_before_admission_filled,13
num__bmi_change_recent_filled,13
num__discharged_to_snf_flag,13
num__elixhauser_deficiency_anaemia,13
num__late_lab_orders_last_12h,13
num__safety_orders_first_24h,13
num__mean_bp_arterial_vital_value_change,13
num__late_psych_safety_order_share_last_12h,13
num__has_opioid_related_disorder,13
num__home_discharge_with_followup_order_flag,13
num__gcs_min_score,13
num__mean_bp_arterial_vital_min_value,13
num__smi_without_followup_order_flag,13
num__systolic_bp_arterial_vital_mean_value,13
num__quiet_self_harm_low_activity_score,12
num__systolic_bp_arterial_vital_max_value,12
