config_number,subsample,reg_lambda,reg_alpha,num_leaves,n_estimators,min_child_samples,max_depth,learning_rate,colsample_bytree,training_roc_auc,validation_roc_auc,training_pr_auc_average_precision,validation_pr_auc_average_precision,validation_brier_score,elapsed_seconds
17,0.85,60,0.5,159,850,100,-1,0.03,0.9,0.9944167676311146,0.7871866964190919,0.9672106773805627,0.5893113683828008,0.13460341497899955,46.17907869799819
20,0.85,35,0.25,63,500,75,6,0.05,0.75,0.8943364072544974,0.7927719668230967,0.7164237458480098,0.5891976205183802,0.16445057711024924,6.15906582900061
68,0.75,45,0.5,31,500,100,-1,0.025,0.75,0.8628410286171745,0.7950060526618226,0.6607546468438213,0.5891621460588213,0.16964503355107896,8.247697389000678
13,0.75,60,1.5,127,500,125,8,0.05,0.6,0.925873181920553,0.7916001150421821,0.7731120659277626,0.5890456248732052,0.15925899621846534,8.4600416569956
8,0.95,35,1.0,159,700,50,10,0.04,0.75,0.9811199167944921,0.7871959356094655,0.920714343876863,0.5887517683494852,0.1437484641542403,20.10511736800254
35,0.85,20,1.5,31,700,125,8,0.025,0.9,0.8827768655579845,0.7939186805652365,0.6926799942902482,0.5887368478625216,0.16657306718797676,9.891743711996241
45,0.75,10,0.5,159,500,100,5,0.05,0.6,0.8726521884764591,0.7935573724144389,0.6807249996258207,0.5887076181807989,0.16792303655752414,4.944158135003818
37,0.75,10,0.5,127,500,50,10,0.04,0.75,0.9734179228331425,0.7880557383861113,0.8970994927257072,0.588561718328813,0.1469053497334007,13.407814088997839
48,0.75,45,1.5,31,500,50,-1,0.03,0.6,0.871757049817061,0.7940965566827245,0.6736553886493588,0.5885434104819424,0.16849595137919038,7.8461979319981765
73,0.85,45,1.5,159,850,125,6,0.04,0.75,0.9082541695882992,0.7923630861430733,0.7393786163828443,0.5883576609777639,0.16252048737034575,9.267129032996309
65,0.85,20,1.5,127,700,125,-1,0.03,0.75,0.9880795681521093,0.7865238558189742,0.9382393180752446,0.5883240645654937,0.13941564992412322,28.52484756099875
30,0.95,20,1.0,95,360,100,-1,0.04,0.75,0.9600668596636006,0.7895133725871188,0.8435869214479752,0.5882748639631957,0.15202711232999647,12.775831314000243
47,0.75,35,0.5,63,700,100,6,0.05,0.6,0.9138278234851677,0.7918438436440776,0.7504564953734815,0.5880720031720873,0.16151967079786303,7.92376312000124
60,0.85,45,1.0,31,360,125,8,0.04,0.75,0.8647508921670873,0.7940015852466425,0.6647552735310834,0.588023143315258,0.16923488511590545,5.495210337001481
44,0.95,10,1.5,31,850,75,5,0.02,0.6,0.8517737710570676,0.794610528502648,0.6510455208482476,0.5880126835646048,0.1709614791365382,7.869977310001559
70,0.75,20,1.5,31,500,75,6,0.03,0.6,0.8595889058968156,0.7943461884451809,0.6608567632408107,0.5878354882879212,0.16982497977203118,6.03508349799813
6,0.85,35,1.5,127,850,125,6,0.05,0.6,0.9255850933921482,0.791433015913197,0.7738154112343053,0.5877700266336932,0.1591882420542619,9.473342823999701
59,0.95,45,0.5,127,700,125,6,0.025,0.6,0.8628595724397978,0.7950189007171609,0.6659874595598252,0.5877509390581028,0.16936428885033064,7.892078545999539
9,0.95,60,1.5,95,850,125,-1,0.04,0.6,0.9877996789169973,0.786184188456367,0.9375360904303196,0.5876777482476051,0.13990242746514267,27.20060168299824
43,0.95,35,0.5,31,300,125,6,0.05,0.6,0.8545345520568521,0.7946755128752085,0.6526876236125762,0.587519135423206,0.17061476688882118,4.094241049999255
42,0.85,60,1.0,63,700,125,-1,0.05,0.6,0.9728870382260767,0.7879587330879876,0.8852944877860707,0.5873601978625278,0.14775411989918857,16.276512306998484
78,0.95,35,0.25,31,300,125,8,0.04,0.75,0.8565300225115172,0.7933479094273115,0.6530585853184501,0.5872940263380915,0.17063697114865323,4.766634821993648
39,0.85,45,0.25,95,500,50,6,0.02,0.75,0.8438359602676327,0.7946525699192474,0.6415496964282084,0.5872855310002187,0.1719969657970767,6.890002293999714
46,0.85,45,0.5,31,850,125,5,0.03,0.6,0.8604630282698337,0.7939581424494899,0.6606220155998169,0.5871366078534797,0.16979416253642723,7.494035714997153
19,0.85,45,1.5,127,500,125,6,0.025,0.75,0.8490344038392291,0.7951281463923299,0.6455597318146744,0.5868645986484993,0.17141923177405927,6.497302577001392
21,0.95,20,1.5,159,360,125,6,0.025,0.6,0.837400961723507,0.7945124070607207,0.631363346483147,0.5866937094436534,0.17316971658211192,4.908918503999303
49,0.85,20,1.5,159,850,75,6,0.05,0.9,0.9416258981458822,0.7887673544704431,0.8111137603749904,0.5865842756939446,0.15638744013961522,10.47840543199709
33,0.75,35,1.0,159,700,100,5,0.03,0.75,0.8561132611549082,0.7941493998910222,0.6545365740344518,0.5864304871551319,0.17049734553737925,6.46382972200081
