config_number,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree,scale_pos_weight_multiplier,effective_scale_pos_weight,best_iteration,training_roc_auc,validation_roc_auc,training_pr_auc_average_precision,validation_pr_auc_average_precision,validation_brier_score,elapsed_seconds,pr_auc_gap,passes_pr_auc_gap_filter,selected_config,max_allowed_pr_auc_gap,gap_filter_used_for_selection
8,0.95,7.5,1.0,450,11,7,0.01625,0.2,0.5,0.3,1.2088724729882487,446,0.8529948567697337,0.7958309077358203,0.6720645625152413,0.5933930506836509,0.11932902783155441,110.3047254530029,0.07867151183159038,True,False,0.13,False
17,0.8,25.0,1.0,450,6,8,0.03,0.1,0.6,0.45,1.8133087094823734,360,0.9023864578405271,0.7948719293814328,0.7486824027236643,0.5933606220451856,0.12518055737018585,106.00519133600028,0.15532178067847868,False,False,0.13,False
21,0.95,25.0,0.0,450,1,7,0.02,0.2,0.5,0.35,1.4103512184862903,446,0.864818934176772,0.7963019266217051,0.6890648390739111,0.5933322758423847,0.12082920968532562,113.03744587099936,0.09573256323152646,True,False,0.13,False
9,0.8,7.5,1.5,225,11,8,0.03,0.1,0.5,0.4,1.6118299639843319,224,0.8730986014867336,0.7959969279257951,0.7022051819318269,0.5931519786371953,0.12306927144527435,57.70079037400137,0.10905320329463164,True,False,0.13,False
16,0.95,25.0,1.0,300,6,7,0.03,0.15,0.5,0.4,1.6118299639843319,283,0.8588585343164034,0.7952061958481907,0.6759579309851651,0.5930425535995728,0.12340062856674194,75.33800983700348,0.08291537738559229,True,False,0.13,False
22,0.8,25.0,1.5,300,1,7,0.03,0.3,0.7,0.45,1.8133087094823734,298,0.8704203362953302,0.7966442293238483,0.6921322546583422,0.5930085166715018,0.12584508955478668,76.53928227299912,0.09912373798684038,True,False,0.13,False
10,0.95,25.0,0.5,300,11,8,0.02,0.2,0.5,0.4,1.6118299639843319,299,0.8562060594915784,0.7957163851807801,0.6735374316341884,0.5925926571470662,0.12336679548025131,77.14488973700645,0.08094477448712223,True,False,0.13,False
4,0.8,25.0,1.0,450,11,7,0.025,0.15,0.5,0.3,1.2088724729882487,419,0.8607949474012029,0.7954866455812221,0.6814293414168292,0.5925594028637069,0.11938365548849106,110.04008729699854,0.08886993855312231,True,False,0.13,False
14,0.8,15.0,1.0,375,11,7,0.02,0.1,0.7,0.4,1.6118299639843319,357,0.852651202907903,0.7958312301773636,0.6660775803800415,0.5924445480208177,0.12342385202646255,94.01967451900418,0.0736330323592238,True,False,0.13,False
6,0.9,25.0,0.0,375,6,7,0.025,0.3,0.7,0.3,1.2088724729882487,363,0.8612558087208568,0.7952992884422031,0.6822206265806525,0.592375876708714,0.1194228008389473,93.42135586199583,0.08984474987193847,True,False,0.13,False
23,0.9,25.0,1.0,375,11,7,0.02,0.1,0.5,0.4,1.6118299639843319,362,0.8462495437016126,0.7955594925667984,0.6574182034297382,0.5918180683040208,0.12363559007644653,92.63684541299881,0.06560013512571738,True,False,0.13,False
18,0.8,7.5,1.0,225,11,8,0.02,0.2,0.7,0.5,2.014787454980415,224,0.8554137378482625,0.7957544580860779,0.6731332725891486,0.5917866974820047,0.12945258617401123,59.36388660299417,0.08134657510714383,True,False,0.13,False
19,0.9,25.0,0.0,225,11,7,0.03,0.3,0.7,0.4,1.6118299639843319,223,0.844330354506152,0.795041645247557,0.6541195947781019,0.5915126063330236,0.12375069409608841,56.43897164399823,0.06260698844507828,True,False,0.13,False
12,0.9,25.0,0.0,225,6,7,0.01625,0.1,0.5,0.5,2.014787454980415,224,0.8239367955650914,0.7938259848223541,0.6263051006073144,0.5874433600647168,0.1308683604001999,57.295380489995296,0.03886174054259761,True,False,0.13,False
