finding_type,subgroup_family,subgroup_name,admissions,readmissions,readmission_rate,mean_predicted_probability,calibration_gap_mean_predicted_minus_observed,calibration_direction,pr_auc_average_precision,recall_sensitivity,precision,f1_score,pr_auc_difference,recall_difference,classification_group,enrichment_ratio,subgroup_count_in_group,false_positive_admissions,readmitted_60d_psych_rate_among_30d_false_positives,readmitted_90d_psych_rate_among_30d_false_positives,readmitted_365d_psych_rate_among_30d_false_positives,interpretation_reliability
false_negative_enrichment,care_process,orders_last_24h_before_discharge_any,44410.0,7997.0,0.18007205584327854,,,,0.5176726223543198,0.4686757534075278,0.4833634253288625,,,,false_negative,1.0420603160938529,4249.0,,,,,main_interpretation
false_negative_enrichment,care_process,num_care_team_touchpoints_any,44925.0,8247.0,0.18357262103505842,,,,0.5364401610779976,0.4823572208075664,0.49287572791475653,,,,false_negative,1.0349633442021626,4269.0,,,,,main_interpretation
false_negative_enrichment,care_process,num_total_poe_orders_any,44816.0,8230.0,0.18363977151017494,,,,0.53700197969576,0.4825030376670717,0.4934145129224652,,,,false_negative,1.0350502819976142,4259.0,,,,,main_interpretation
false_negative_enrichment,prior_utilisation,previous_total_admissions_any,29723.0,6901.0,0.23217710190761362,,,,0.5822049043749429,0.5739747862628605,0.49321379653841363,,,,false_negative,1.077312225598333,2940.0,,,,,main_interpretation
false_negative_enrichment,demographics,race_WHITE,30368.0,5932.0,0.19533719704952582,,,,0.5555571882278715,0.49527983816587995,0.5036859249099949,,,,false_negative,1.0737977872416833,2994.0,,,,,main_interpretation
false_positive_enrichment,prior_utilisation,previous_psych_admissions_365d_high,6826.0,2879.0,0.42176970407266334,,,,0.6816163102861432,0.8891976380687738,0.5003909304143862,,,,false_positive,3.9269032158968464,2556.0,,,,,main_interpretation
false_positive_enrichment,prior_utilisation,previous_psych_admissions_90d_high,5289.0,2383.0,0.4505577613915674,,,,0.7133764475314095,0.9148132605958875,0.5249217433180833,,,,false_positive,3.9120928181269363,1973.0,,,,,main_interpretation
false_positive_enrichment,prior_utilisation,previous_ed_visits_365d_high,4734.0,2161.0,0.4564850021123785,,,,0.6902641872452628,0.9079130032392411,0.5254418853776112,,,,false_positive,3.9254648782550494,1772.0,,,,,main_interpretation
false_positive_enrichment,prior_utilisation,previous_total_admissions_high,5064.0,2035.0,0.4018562401263823,,,,0.6825283350278294,0.8275184275184275,0.5184729064039408,,,,false_positive,3.2389085336856756,1564.0,,,,,main_interpretation
false_positive_enrichment,prior_utilisation,previous_psych_admissions_90d_any,13509.0,4287.0,0.31734399289362647,,,,0.6309631207156406,0.7315138791695824,0.4846237057641786,,,,false_positive,2.5889774552419493,3335.0,,,,,main_interpretation
false_positive_enrichment,prior_utilisation,previous_psych_admissions_365d_any,19427.0,5501.0,0.2831626087404128,,,,0.6046008365214521,0.6556989638247591,0.4812541694462975,,,,false_positive,2.0988246110102913,3888.0,,,,,main_interpretation
false_positive_enrichment,prior_utilisation,previous_ed_visits_365d_any,19619.0,5368.0,0.27361231459299656,,,,0.6044724508880588,0.6471684053651267,0.48465401785714285,,,,false_positive,1.9745841925859704,3694.0,,,,,main_interpretation
false_positive_enrichment,prior_utilisation,previous_icu_admissions_any,9509.0,2604.0,0.27384583026606374,,,,0.5939962662659428,0.6394009216589862,0.48528125910813175,,,,false_positive,1.9476525503605415,1766.0,,,,,main_interpretation
false_positive_enrichment,prior_utilisation,previous_icu_admissions_high,9509.0,2604.0,0.27384583026606374,,,,0.5939962662659428,0.6394009216589862,0.48528125910813175,,,,false_positive,1.9476525503605415,1766.0,,,,,main_interpretation
false_positive_enrichment,prior_utilisation,previous_total_admissions_any,29723.0,6901.0,0.23217710190761362,,,,0.5822049043749429,0.5739747862628605,0.49321379653841363,,,,false_positive,1.4360097869423574,4070.0,,,,,main_interpretation
delayed_false_positive_risk,prior_utilisation,previous_total_admissions_high,,,,,,,,,,,,,,,,1564.0,0.2666240409207161,0.40281329923273657,0.6336317135549873,
delayed_false_positive_risk,prior_utilisation,previous_ed_visits_365d_high,,,,,,,,,,,,,,,,1772.0,0.2714446952595937,0.4006772009029345,0.6281038374717833,
delayed_false_positive_risk,prior_utilisation,previous_psych_admissions_365d_high,,,,,,,,,,,,,,,,2556.0,0.2476525821596244,0.36932707355242567,0.6009389671361502,
delayed_false_positive_risk,prior_utilisation,previous_psych_admissions_90d_high,,,,,,,,,,,,,,,,1973.0,0.23112012164216927,0.3487075519513431,0.560567663456665,
delayed_false_positive_risk,discharge_pathway,low_aftercare_quality_flag,,,,,,,,,,,,,,,,809.0,0.15203955500618047,0.2620519159456119,0.5105067985166872,
delayed_false_positive_risk,overall,all_false_positives,,,,,,,,,,,,,,,,4498.0,0.1905291240551356,0.2883503779457537,0.49644286349488664,
delayed_false_positive_risk,discharge_pathway,protective_aftercare_present_flag,,,,,,,,,,,,,,,,3056.0,0.20484293193717276,0.3010471204188482,0.48887434554973824,
delayed_false_positive_risk,discharge_pathway,home_discharge_without_followup_order_flag,,,,,,,,,,,,,,,,535.0,0.17570093457943925,0.2822429906542056,0.4616822429906542,
delayed_false_positive_risk,intersection,age_70plus_x_cognitive_delirium,,,,,,,,,,,,,,,,156.0,0.14743589743589744,0.23717948717948717,0.42948717948717946,
delayed_false_positive_risk,demographics,age_80plus,,,,,,,,,,,,,,,,158.0,0.12025316455696203,0.21518987341772153,0.4050632911392405,
largest_calibration_gap,discharge_pathway,home_discharge_without_discharge_planning_order_flag,309.0,68.0,0.22006472491909385,0.3371299105099404,0.11706518559084655,overestimates,0.5563480865378473,0.6764705882352942,,,,,,,,,,,,supporting_interpretation
largest_calibration_gap,prior_utilisation,previous_psych_admissions_365d_high,6826.0,2879.0,0.42176970407266334,0.5222559348489536,0.10048623077629026,overestimates,0.6816163102861432,0.8891976380687738,,,,,,,,,,,,main_interpretation
largest_calibration_gap,prior_utilisation,previous_psych_admissions_90d_high,5289.0,2383.0,0.4505577613915674,0.5496181364517175,0.09906037506015014,overestimates,0.7133764475314095,0.9148132605958875,,,,,,,,,,,,main_interpretation
largest_calibration_gap,diagnosis,psychosis_and_substance_use_flag,1077.0,318.0,0.29526462395543174,0.39022340887979956,0.09495878492436782,overestimates,0.8104171014114643,0.7515723270440252,,,,,,,,,,,,main_interpretation
largest_calibration_gap,prior_utilisation,previous_psych_admissions_90d_any,13509.0,4287.0,0.31734399289362647,0.40897871993516766,0.09163472704154119,overestimates,0.6309631207156406,0.7315138791695824,,,,,,,,,,,,main_interpretation
largest_calibration_gap,prior_utilisation,previous_ed_visits_365d_high,4734.0,2161.0,0.4564850021123785,0.547011192103384,0.09052618999100548,overestimates,0.6902641872452628,0.9079130032392411,,,,,,,,,,,,main_interpretation
