source_notebook,model_family,model_group,model,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms,threshold_role_normalised,threshold_role,evaluation_subset,subset_admissions,precision_recall_gap,ensemble_members,ensemble_weights,ensemble_blend_note,recommended_threshold_label,threshold_selection_note
WP3.4,Calibrated Targeted XGBoost,calibrated_targeted_xgboost,Calibrated Targeted XGBoost balanced precision-recall threshold,0.25,0.8162,0.7011,0.5366,0.5109,0.8914,0.5234,0.7932,0.5844,0.1204,33741,4111,4558,4761,14.9382,0.2857,0.0716,0.0015,balanced_precision_recall,balanced precision-recall,,,,,,,,
WP3.4,Calibrated Targeted XGBoost,calibrated_targeted_xgboost,Calibrated Targeted XGBoost exploratory held-out F1 threshold,0.24,0.8124,0.7032,0.5255,0.5227,0.8838,0.5241,0.7932,0.5844,0.1204,33453,4399,4448,4871,14.9382,0.2857,0.0716,0.0015,heldout_f1,exploratory,,,,,,,,
WP3.4,LightGBM,lightgbm,LightGBM default threshold,0.5,0.7784,0.7185,0.4552,0.6196,0.8174,0.5248,0.7997,0.592,0.1595,30942,6910,3545,5774,54.9898,0.5869,0.1461,0.0031,default,default,,,,,,,,
WP3.4,LightGBM,lightgbm,LightGBM official balanced precision-recall threshold,0.6,0.8204,0.7017,0.5495,0.5054,0.898,0.5266,0.7997,0.592,0.1595,33991,3861,4609,4710,54.9898,0.5869,0.1461,0.0031,official,official,,,,,,,,
WP3.4,LightGBM,lightgbm,LightGBM training Youden threshold,0.45,0.7466,0.7207,0.4138,0.6779,0.7636,0.5139,0.7997,0.592,0.1595,28903,8949,3002,6317,54.9898,0.5869,0.1461,0.0031,training_youden,recall sensitivity,,,,,,,,
WP3.4,LightGBM,lightgbm,LightGBM balanced precision-recall threshold,0.6,0.8204,0.7017,0.5495,0.5054,0.898,0.5266,0.7997,0.592,0.1595,33991,3861,4609,4710,54.9898,0.5869,0.1461,0.0031,balanced_precision_recall,balanced precision-recall,,,,,,,,
WP3.4,LightGBM,lightgbm,LightGBM exploratory held-out F1 threshold,0.55,0.8025,0.7113,0.5002,0.5605,0.8621,0.5286,0.7997,0.592,0.1595,32633,5219,4096,5223,54.9898,0.5869,0.1461,0.0031,heldout_f1,exploratory,,,,,,,,
WP3.4,Targeted LightGBM,lightgbm_targeted,Targeted LightGBM default threshold,0.5,0.8394,0.6722,0.6548,0.3958,0.9486,0.4933,0.7999,0.5945,0.1212,35908,1944,5631,3688,52.8694,0.5462,0.1231,0.0026,default,default,,,,,,,,
WP3.4,Targeted LightGBM,lightgbm_targeted,Targeted LightGBM official balanced precision-recall threshold,0.39,0.8211,0.7005,0.5519,0.5012,0.8998,0.5253,0.7999,0.5945,0.1212,34059,3793,4648,4671,52.8694,0.5462,0.1231,0.0026,official,official,,,,,,,,
WP3.4,Targeted LightGBM,lightgbm_targeted,Targeted LightGBM training Youden threshold,0.29,0.7727,0.7192,0.4467,0.6306,0.8077,0.523,0.7999,0.5945,0.1212,30573,7279,3442,5877,52.8694,0.5462,0.1231,0.0026,training_youden,recall sensitivity,,,,,,,,
WP3.4,Targeted LightGBM,lightgbm_targeted,Targeted LightGBM balanced precision-recall threshold,0.39,0.8211,0.7005,0.5519,0.5012,0.8998,0.5253,0.7999,0.5945,0.1212,34059,3793,4648,4671,52.8694,0.5462,0.1231,0.0026,balanced_precision_recall,balanced precision-recall,,,,,,,,
WP3.4,Targeted LightGBM,lightgbm_targeted,Targeted LightGBM exploratory held-out F1 threshold,0.35,0.8069,0.7097,0.5105,0.549,0.8704,0.5291,0.7999,0.5945,0.1212,32947,4905,4203,5116,52.8694,0.5462,0.1231,0.0026,heldout_f1,exploratory,,,,,,,,
WP3.4,Calibrated Targeted LightGBM,calibrated_targeted_lightgbm,Calibrated Targeted LightGBM default threshold,0.5,0.842,0.6414,0.7389,0.3098,0.9731,0.4366,0.7905,0.5825,0.1198,36832,1020,6432,2887,26.0327,0.6588,0.1248,0.0026,default,default,,,,,,,,
WP3.4,Calibrated Targeted LightGBM,calibrated_targeted_lightgbm,Calibrated Targeted LightGBM official balanced precision-recall threshold,0.28,0.8135,0.7004,0.5287,0.5136,0.8873,0.521,0.7905,0.5825,0.1198,33586,4266,4533,4786,26.0327,0.6588,0.1248,0.0026,official,official,,,,,,,,
WP3.4,Calibrated Targeted LightGBM,calibrated_targeted_lightgbm,Calibrated Targeted LightGBM validation Youden threshold,0.25,0.7986,0.7089,0.4914,0.5606,0.8572,0.5237,0.7905,0.5825,0.1198,32445,5407,4095,5224,26.0327,0.6588,0.1248,0.0026,training_youden,recall sensitivity,,,,,,,,
WP3.4,Calibrated Targeted LightGBM,calibrated_targeted_lightgbm,Calibrated Targeted LightGBM balanced precision-recall threshold,0.28,0.8135,0.7004,0.5287,0.5136,0.8873,0.521,0.7905,0.5825,0.1198,33586,4266,4533,4786,26.0327,0.6588,0.1248,0.0026,balanced_precision_recall,balanced precision-recall,,,,,,,,
WP3.4,Calibrated Targeted LightGBM,calibrated_targeted_lightgbm,Calibrated Targeted LightGBM exploratory held-out F1 threshold,0.25,0.7986,0.7089,0.4914,0.5606,0.8572,0.5237,0.7905,0.5825,0.1198,32445,5407,4095,5224,26.0327,0.6588,0.1248,0.0026,heldout_f1,exploratory,,,,,,,,
WP3.4,CatBoost,catboost,CatBoost default threshold,0.5,0.7724,0.7193,0.4462,0.6315,0.8071,0.5229,0.7977,0.5868,0.1654,30549,7303,3434,5885,55.762,0.9623,0.2574,0.0055,default,default,,,,,,,,
WP3.4,CatBoost,catboost,CatBoost official balanced precision-recall threshold,0.6,0.8181,0.702,0.5421,0.51,0.8939,0.5256,0.7977,0.5868,0.1654,33837,4015,4566,4753,55.762,0.9623,0.2574,0.0055,official,official,,,,,,,,
