processed_feature_name,clean_train_nonzero_count,clean_test_nonzero_count,clean_train_nonzero_percent,clean_test_nonzero_percent,all_zero_train,near_zero_train,core_rapid_trial_keep,clinically_relevant_extra_candidate,explicit_aftercare_addback_candidate,rapid_trial_mean_abs_shap,high_recent_shap_signal,extra_keep_after_sparsity_check,keep_in_primary_reduced_matrix,primary_reduced_selection_reason
num__sodium_lab_first_value,191320,47171,100.0,100.0,False,False,True,False,False,0.004095099477313163,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__urea_nitrogen_lab_first_value,191320,47171,100.0,100.0,False,False,False,False,False,0.001221908994805512,False,False,False,removed_not_selected_by_signal_or_family_rule
num__wbc_lab_first_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002965900823715496,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__creatinine_lab_last_value,191320,47171,100.0,100.0,False,False,False,False,False,0.0009085580595785247,False,False,False,removed_not_selected_by_signal_or_family_rule
num__glucose_lab_last_value,191320,47171,100.0,100.0,False,False,True,False,False,0.003738310366470117,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__hemoglobin_lab_last_value,191320,47171,100.0,100.0,False,False,True,False,False,0.01917507790107756,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__platelet_lab_last_value,191320,47171,100.0,100.0,False,False,True,False,False,0.00476651234777058,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__potassium_lab_last_value,191320,47171,100.0,100.0,False,False,True,False,False,0.001882083423566437,False,False,True,kept_rapid_trial_core
num__sodium_lab_last_value,191320,47171,100.0,100.0,False,False,True,False,False,0.01245725710050315,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__urea_nitrogen_lab_last_value,191320,47171,100.0,100.0,False,False,True,False,False,0.001880953892535471,False,False,True,kept_rapid_trial_core
num__wbc_lab_last_value,191320,47171,100.0,100.0,False,False,True,False,False,0.01315729407863585,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__creatinine_lab_max_value,191320,47171,100.0,100.0,False,False,False,False,False,0.0008564708485361686,False,False,False,removed_not_selected_by_signal_or_family_rule
num__glucose_lab_max_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002990356519117379,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__hemoglobin_lab_max_value,191320,47171,100.0,100.0,False,False,True,False,False,0.001803085607640062,False,False,True,kept_rapid_trial_core
num__platelet_lab_max_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002627210686613132,False,False,True,kept_rapid_trial_core
num__potassium_lab_max_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002420534514305556,False,False,True,kept_rapid_trial_core
num__sodium_lab_max_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002464800140612697,False,False,True,kept_rapid_trial_core
num__urea_nitrogen_lab_max_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002156857502379201,False,False,True,kept_rapid_trial_core
num__wbc_lab_max_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002746830948467062,False,False,True,kept_rapid_trial_core
num__creatinine_lab_mean_value,191320,47171,100.0,100.0,False,False,True,False,False,0.005498690026966675,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__glucose_lab_mean_value,191320,47171,100.0,100.0,False,False,True,False,False,0.003083444584272827,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__hemoglobin_lab_mean_value,191320,47171,100.0,100.0,False,False,True,False,False,0.003482728794451031,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__platelet_lab_mean_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002878702295318653,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__potassium_lab_mean_value,191320,47171,100.0,100.0,False,False,True,False,False,0.003622702347611128,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__sodium_lab_mean_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002930469711715399,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__urea_nitrogen_lab_mean_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002992549632710517,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__wbc_lab_mean_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002549981105429444,False,False,True,kept_rapid_trial_core
num__creatinine_lab_measured,191320,47171,100.0,100.0,False,False,False,False,False,0.0,False,False,False,removed_not_selected_by_signal_or_family_rule
num__glucose_lab_measured,191320,47171,100.0,100.0,False,False,False,False,False,0.0,False,False,False,removed_not_selected_by_signal_or_family_rule
num__hemoglobin_lab_measured,191320,47171,100.0,100.0,False,False,False,False,False,0.0,False,False,False,removed_not_selected_by_signal_or_family_rule
num__platelet_lab_measured,191320,47171,100.0,100.0,False,False,False,False,False,0.0,False,False,False,removed_not_selected_by_signal_or_family_rule
num__potassium_lab_measured,191320,47171,100.0,100.0,False,False,False,False,False,0.0,False,False,False,removed_not_selected_by_signal_or_family_rule
num__sodium_lab_measured,191320,47171,100.0,100.0,False,False,False,False,False,0.0,False,False,False,removed_not_selected_by_signal_or_family_rule
num__urea_nitrogen_lab_measured,191320,47171,100.0,100.0,False,False,False,False,False,0.0,False,False,False,removed_not_selected_by_signal_or_family_rule
num__wbc_lab_measured,191320,47171,100.0,100.0,False,False,False,False,False,0.0,False,False,False,removed_not_selected_by_signal_or_family_rule
num__creatinine_lab_min_value,191320,47171,100.0,100.0,False,False,False,False,False,0.0008978286298172689,False,False,False,removed_not_selected_by_signal_or_family_rule
num__glucose_lab_min_value,191320,47171,100.0,100.0,False,False,True,False,False,0.003620517161029108,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__hemoglobin_lab_min_value,191320,47171,100.0,100.0,False,False,True,False,False,0.01102686453917415,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__platelet_lab_min_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002235155134557847,False,False,True,kept_rapid_trial_core
num__potassium_lab_min_value,191320,47171,100.0,100.0,False,False,True,False,False,0.001392714949705234,False,False,True,kept_rapid_trial_core
num__sodium_lab_min_value,191320,47171,100.0,100.0,False,False,True,False,False,0.007327570445959523,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__urea_nitrogen_lab_min_value,191320,47171,100.0,100.0,False,False,True,False,False,0.001951989883983086,False,False,True,kept_rapid_trial_core
num__wbc_lab_min_value,191320,47171,100.0,100.0,False,False,True,False,False,0.003181295648511413,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__creatinine_lab_severe_abnormal,191320,47171,100.0,100.0,False,False,False,False,False,0.0,False,False,False,removed_not_selected_by_signal_or_family_rule
num__glucose_lab_severe_abnormal,191320,47171,100.0,100.0,False,False,False,False,False,2.911063291053051e-05,False,False,False,removed_not_selected_by_signal_or_family_rule
num__hemoglobin_lab_severe_abnormal,191320,47171,100.0,100.0,False,False,False,False,False,1.864821036095849e-05,False,False,False,removed_not_selected_by_signal_or_family_rule
num__platelet_lab_severe_abnormal,191320,47171,100.0,100.0,False,False,False,False,False,1.530766712676268e-05,False,False,False,removed_not_selected_by_signal_or_family_rule
num__potassium_lab_severe_abnormal,191320,47171,100.0,100.0,False,False,False,False,False,0.0,False,False,False,removed_not_selected_by_signal_or_family_rule
num__urea_nitrogen_lab_severe_abnormal,191320,47171,100.0,100.0,False,False,False,False,False,0.0001284784666495398,False,False,False,removed_not_selected_by_signal_or_family_rule
num__wbc_lab_severe_abnormal,191320,47171,100.0,100.0,False,False,False,False,False,3.78018983025718e-05,False,False,False,removed_not_selected_by_signal_or_family_rule
num__creatinine_lab_std_value,191320,47171,100.0,100.0,False,False,True,False,False,0.001603405894863285,False,False,True,kept_rapid_trial_core
num__glucose_lab_std_value,191320,47171,100.0,100.0,False,False,True,False,False,0.001728510821034818,False,False,True,kept_rapid_trial_core
num__hemoglobin_lab_std_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002880244701883617,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__platelet_lab_std_value,191320,47171,100.0,100.0,False,False,True,False,False,0.007702293606220402,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__potassium_lab_std_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002762348917339621,False,False,True,kept_rapid_trial_core
num__sodium_lab_std_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002799942475050314,False,False,True,kept_rapid_trial_core
num__urea_nitrogen_lab_std_value,191320,47171,100.0,100.0,False,False,True,False,False,0.009635077017210291,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__wbc_lab_std_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002271621662589783,False,False,True,kept_rapid_trial_core
num__creatinine_lab_value_change,191320,47171,100.0,100.0,False,False,False,False,False,0.0005531346428781901,False,False,False,removed_not_selected_by_signal_or_family_rule
num__glucose_lab_value_change,191320,47171,100.0,100.0,False,False,True,False,False,0.001842057894769705,False,False,True,kept_rapid_trial_core
num__hemoglobin_lab_value_change,191320,47171,100.0,100.0,False,False,True,False,False,0.001622154691800616,False,False,True,kept_rapid_trial_core
num__platelet_lab_value_change,191320,47171,100.0,100.0,False,False,True,False,False,0.002217857435935098,False,False,True,kept_rapid_trial_core
num__potassium_lab_value_change,191320,47171,100.0,100.0,False,False,True,False,False,0.002881679168771054,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__sodium_lab_value_change,191320,47171,100.0,100.0,False,False,False,False,False,0.0008590595541008552,False,False,False,removed_not_selected_by_signal_or_family_rule
num__urea_nitrogen_lab_value_change,191320,47171,100.0,100.0,False,False,False,False,False,0.001065494438895768,False,False,False,removed_not_selected_by_signal_or_family_rule
num__wbc_lab_value_change,191320,47171,100.0,100.0,False,False,True,False,False,0.002581332725323746,False,False,True,kept_rapid_trial_core
num__creatinine_lab_value_range,191320,47171,100.0,100.0,False,False,False,False,False,0.0008217687278780585,False,False,False,removed_not_selected_by_signal_or_family_rule
num__glucose_lab_value_range,191320,47171,100.0,100.0,False,False,True,False,False,0.003421383448846971,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__hemoglobin_lab_value_range,191320,47171,100.0,100.0,False,False,True,False,False,0.002185241625416194,False,False,True,kept_rapid_trial_core
num__platelet_lab_value_range,191320,47171,100.0,100.0,False,False,True,False,False,0.002986682313350002,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__potassium_lab_value_range,191320,47171,100.0,100.0,False,False,True,False,False,0.001816938669674085,False,False,True,kept_rapid_trial_core
num__sodium_lab_value_range,191320,47171,100.0,100.0,False,False,True,False,False,0.004856285273032713,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__urea_nitrogen_lab_value_range,191320,47171,100.0,100.0,False,False,True,False,False,0.004220295783574843,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__wbc_lab_value_range,191320,47171,100.0,100.0,False,False,True,False,False,0.00136970112156767,False,False,True,kept_rapid_trial_core
num__num_lab_events_first_24h,191320,47171,100.0,100.0,False,False,True,False,False,0.002463411693505543,False,False,True,kept_rapid_trial_core
