processed_feature_name,train_nonzero_count,test_nonzero_count,train_nonzero_percent,test_nonzero_percent,all_zero_train,all_zero_test,very_rare_train,rare_train,timing_or_leakage_flags,has_timing_or_leakage_flag,feature_family,random_forest_importance,random_forest_importance_normalised,regularised_random_forest_importance,regularised_random_forest_importance_normalised,xgboost_importance,xgboost_importance_normalised,targeted_xgboost_importance,targeted_xgboost_importance_normalised,catboost_importance,catboost_importance_normalised,targeted_catboost_importance,targeted_catboost_importance_normalised,lightgbm_importance,lightgbm_importance_normalised,targeted_lightgbm_importance,targeted_lightgbm_importance_normalised,available_model_signal_count,mean_available_model_signal,removal_review_reason,review_for_removal
num__self_harm_with_late_safety_order_flag,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,psychiatric_acuity_specificity_features,3.1090241752626776e-05,0.0016523252065550993,1.8836553374442932e-05,0.0006589748273430378,9.583906e-05,0.0008707151563341514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.00039775189877903607,full_record_only_not_for_early_prediction,True
num__tachycardia_last_24h_before_discharge_flag,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,discharge_readiness_trajectory_features,2.6110391017315543e-06,0.0001387665543876809,1.67712307396909e-06,5.8672192631657075e-05,0.00033287198,0.0030242020122584518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.00040270509490972374,full_record_only_not_for_early_prediction,True
num__psychosis_with_late_safety_order_flag,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,psychiatric_acuity_specificity_features,1.981069533012643e-05,0.0010528612647595658,1.3962378127526458e-05,0.0004884574971325962,4.7024503e-05,0.0004272260963450682,0.00022854535,0.0012304963968146536,0.0029549831401044,0.0005829862214493821,0.0,0.0,1.0,0.0009337068160597573,0.0,0.0,8,0.0005894667865701279,full_record_only_not_for_early_prediction,True
num__new_orders_last_24h_before_discharge_flag,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,discharge_readiness_trajectory_features,1.2454666140088616e-05,0.0006619169759514016,1.6282198844825287e-05,0.0005696137164398349,0.00015494972,0.001407746170233024,5.866773e-05,0.00031586917158583607,0.0,0.0,0.0219045507499582,0.0032810783543050443,0.0,0.0,0.0,0.0,8,0.0007795280485643926,full_record_only_not_for_early_prediction,True
num__spo2_low_last_24h_before_discharge_flag,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,discharge_readiness_trajectory_features,9.200035306989196e-06,0.0004889460287857291,7.81434720190001e-06,0.00027337581328213117,0.00035072825,0.003186429447759122,0.00034874078,0.0018776329214850874,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.000966183574879227,8,0.0008490709732739121,full_record_only_not_for_early_prediction,True
num__hypotension_last_24h_before_discharge_flag,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,discharge_readiness_trajectory_features,5.389988759235667e-06,0.000286456900554055,3.218073343528669e-06,0.00011258053868847714,0.0006572034,0.005970811495587872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.000966183574879227,8,0.0009170040637137039,full_record_only_not_for_early_prediction,True
num__late_safety_orders_and_self_harm_flag,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,safety_observation_features,3.104003236375118e-05,0.001649656773176389,3.060229890812718e-05,0.0010705856978402521,9.146889e-05,0.0008310113731923215,0.0002568916,0.0013831136278727669,0.0,0.0,0.0,0.0,2.0,0.0018674136321195146,2.0,0.001932367149758454,8,0.0010917685317449622,full_record_only_not_for_early_prediction,True
num__vital_instability_near_discharge_score,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,discharge_readiness_trajectory_features,4.041444852684854e-05,0.0021478704649922336,4.428216174516718e-05,0.0015491597273835666,0.00030545946,0.0027751543208754917,0.00016277336,0.0008763776334868089,0.0,0.0,0.0,0.0,2.0,0.0018674136321195146,1.0,0.000966183574879227,8,0.0012727699192171052,full_record_only_not_for_early_prediction,True
num__safety_orders_last_6h_before_discharge,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,discharge_readiness_trajectory_features,8.233392191233582e-05,0.00437572713691741,6.996572251334158e-05,0.0024476691142295386,0.00023946408,0.002175574383279779,0.00032696617,0.0017603976369035181,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.000966183574879227,8,0.001465693980776184,full_record_only_not_for_early_prediction,True
num__spo2_vital_max_value,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,2.874755735574868e-05,0.0015278206590908466,1.5385603577403612e-05,0.0005382473778214647,0.00030892045,0.0028065980396360986,0.00033272037,0.001791378456975118,0.0,0.0,0.0053431046204082,0.0008003425915887396,2.0,0.0018674136321195146,3.0,0.002898550724637681,8,0.0015287939352336831,full_record_only_not_for_early_prediction,True
