processed_feature_name,train_nonzero_count,test_nonzero_count,train_nonzero_percent,test_nonzero_percent,all_zero_train,all_zero_test,very_rare_train,rare_train,timing_or_leakage_flags,has_timing_or_leakage_flag,feature_family,random_forest_importance,random_forest_importance_normalised,regularised_random_forest_importance,regularised_random_forest_importance_normalised,xgboost_importance,xgboost_importance_normalised,targeted_xgboost_importance,targeted_xgboost_importance_normalised,catboost_importance,catboost_importance_normalised,targeted_catboost_importance,targeted_catboost_importance_normalised,lightgbm_importance,lightgbm_importance_normalised,targeted_lightgbm_importance,targeted_lightgbm_importance_normalised,available_model_signal_count,mean_available_model_signal,removal_review_reason,review_for_removal
num__platelet_lab_mean_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__potassium_lab_mean_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__sodium_lab_mean_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__urea_nitrogen_lab_mean_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__wbc_lab_mean_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__creatinine_lab_min_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__glucose_lab_min_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__hemoglobin_lab_min_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__platelet_lab_min_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__potassium_lab_min_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__sodium_lab_min_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__urea_nitrogen_lab_min_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__wbc_lab_min_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__creatinine_lab_std_value_missing,191320,47171,100.0,100.0,False,False,False,False,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,,False
num__glucose_lab_std_value_missing,191320,47171,100.0,100.0,False,False,False,False,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,,False
num__hemoglobin_lab_std_value_missing,191320,47171,100.0,100.0,False,False,False,False,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,,False
num__platelet_lab_std_value_missing,191320,47171,100.0,100.0,False,False,False,False,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,,False
num__potassium_lab_std_value_missing,191320,47171,100.0,100.0,False,False,False,False,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,,False
num__sodium_lab_std_value_missing,191320,47171,100.0,100.0,False,False,False,False,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,,False
num__urea_nitrogen_lab_std_value_missing,191320,47171,100.0,100.0,False,False,False,False,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,,False
num__wbc_lab_std_value_missing,191320,47171,100.0,100.0,False,False,False,False,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,,False
num__creatinine_lab_value_change_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__glucose_lab_value_change_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__hemoglobin_lab_value_change_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__platelet_lab_value_change_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__potassium_lab_value_change_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__sodium_lab_value_change_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__urea_nitrogen_lab_value_change_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__wbc_lab_value_change_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,laboratory_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__creatinine_lab_value_range_missing,191320,47171,100.0,100.0,False,False,False,False,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,,False
num__glucose_lab_value_range_missing,191320,47171,100.0,100.0,False,False,False,False,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,,False
num__hemoglobin_lab_value_range_missing,191320,47171,100.0,100.0,False,False,False,False,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,,False
num__platelet_lab_value_range_missing,191320,47171,100.0,100.0,False,False,False,False,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,,False
num__potassium_lab_value_range_missing,191320,47171,100.0,100.0,False,False,False,False,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,,False
num__sodium_lab_value_range_missing,191320,47171,100.0,100.0,False,False,False,False,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,,False
num__urea_nitrogen_lab_value_range_missing,191320,47171,100.0,100.0,False,False,False,False,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,,False
num__wbc_lab_value_range_missing,191320,47171,100.0,100.0,False,False,False,False,,False,laboratory_features,,,,,,,,,,,,,,,,,0,,,False
num__heart_rate_vital_first_value_missing,191320,47171,100.0,100.0,False,False,False,False,,False,vital_sign_features,,,,,,,,,,,,,,,,,0,,,False
num__mean_bp_arterial_vital_first_value_missing,191320,47171,100.0,100.0,False,False,False,False,,False,vital_sign_features,,,,,,,,,,,,,,,,,0,,,False
num__mean_bp_noninvasive_vital_first_value_missing,191320,47171,100.0,100.0,False,False,False,False,,False,vital_sign_features,,,,,,,,,,,,,,,,,0,,,False
num__respiratory_rate_vital_first_value_missing,191320,47171,100.0,100.0,False,False,False,False,,False,vital_sign_features,,,,,,,,,,,,,,,,,0,,,False
num__spo2_vital_first_value_missing,191320,47171,100.0,100.0,False,False,False,False,,False,vital_sign_features,,,,,,,,,,,,,,,,,0,,,False
num__systolic_bp_arterial_vital_first_value_missing,191320,47171,100.0,100.0,False,False,False,False,,False,vital_sign_features,,,,,,,,,,,,,,,,,0,,,False
num__systolic_bp_noninvasive_vital_first_value_missing,191320,47171,100.0,100.0,False,False,False,False,,False,vital_sign_features,,,,,,,,,,,,,,,,,0,,,False
num__heart_rate_vital_last_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__mean_bp_arterial_vital_last_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__mean_bp_noninvasive_vital_last_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__respiratory_rate_vital_last_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__spo2_vital_last_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__systolic_bp_arterial_vital_last_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__systolic_bp_noninvasive_vital_last_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__heart_rate_vital_max_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__mean_bp_arterial_vital_max_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__mean_bp_noninvasive_vital_max_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__respiratory_rate_vital_max_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__spo2_vital_max_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__systolic_bp_arterial_vital_max_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__systolic_bp_noninvasive_vital_max_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__heart_rate_vital_mean_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__mean_bp_arterial_vital_mean_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__mean_bp_noninvasive_vital_mean_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__respiratory_rate_vital_mean_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__spo2_vital_mean_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__systolic_bp_arterial_vital_mean_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__systolic_bp_noninvasive_vital_mean_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__heart_rate_vital_min_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__mean_bp_arterial_vital_min_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__mean_bp_noninvasive_vital_min_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__respiratory_rate_vital_min_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__spo2_vital_min_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
num__systolic_bp_arterial_vital_min_value_missing,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,vital_sign_features,,,,,,,,,,,,,,,,,0,,full_record_only_not_for_early_prediction,True
