processed_feature_name,feature_importance
num__previous_nonpsych_admissions_30d,8
num__self_harm_and_substance_use_flag,8
cat__first_service_ORTHO,8
num__previous_ed_visits_30d,7
num__service_change_last_24h_before_discharge_flag,7
num__older_age_x_no_recent_psych_history,7
num__medical_complexity_without_prior_psych_flag,7
num__previous_admission_had_followup_order,7
num__late_followup_order_flag,7
num__num_patient_may_take_own_med_orders,7
num__abnormal_labs_last_24h_before_discharge,7
num__prn_psychotropic_and_self_harm_flag,7
num__gcs_min_score,7
cat__psych_diagnosis_burden_category_1 diagnosis,7
num__num_paused_inputevents,7
num__num_unique_antipsychotics,7
num__admission_source_high_acuity_flag,7
num__has_multiple_psych_diagnosis_groups,7
num__had_antipsychotic,7
num__late_lab_orders_last_6h,7
num__elixhauser_obesity,7
num__num_outputevents_last_24h_before_discharge,7
num__late_lab_activity_without_facility_discharge_flag,7
num__night_discharge,7
num__discharged_to_residential_care_flag,6
num__mixed_psych_medical_readmission_pattern_flag,6
num__had_psych_consult_order,6
num__late_safety_to_total_late_order_ratio,6
num__late_orders_without_self_harm_flag,6
num__recent_psych_admission_90d_x_substance_use,6
num__hemoglobin_lab_abnormal,6
num__followup_order_last_24h_before_discharge,6
num__elixhauser_diabetes_complicated,6
num__height_change_recent_filled,6
num__admitted_from_ed_flag,6
num__polypharmacy_10plus_x_age_65plus,6
num__prior_psych_90d_x_self_harm,6
num__previous_ed_visits_7d,6
num__spo2_vital_min_value,6
num__friday_evening_discharge_flag,6
num__previous_weight_kg_before_admission_missing,6
num__previous_bmi_before_admission_missing,6
cat__time_since_previous_psych_category_181-365 days,6
cat__insurance_Medicaid,6
num__has_psychotic_disorder,6
num__mean_bp_arterial_vital_value_change,6
num__had_prn_antipsychotic,6
num__new_benzodiazepine_started_flag,6
num__smi_home_discharge_no_followup_flag,6
num__single_or_divorced_or_widowed,5
num__low_order_activity_with_prior_psych_365d_flag,5
num__self_harm_without_followup_order_flag,5
cat__last_icu_careunit_Medical/Surgical Intensive Care Unit (MICU/SICU),5
num__late_psych_safety_without_psych_facility_discharge_flag,5
num__antipsychotic_plus_mood_stabiliser,5
num__late_psych_safety_orders_last_6h,5
num__late_followup_or_aftercare_orders_last_6h,5
num__elixhauser_alcohol_abuse,5
num__num_unique_hcpcs_codes,5
num__psychosis_and_previous_psych_365d,5
num__facility_discharge_and_late_orders_flag,5
num__previous_2plus_psych_admissions,5
num__vital_72h_hours_with_2plus_instability_indicators,5
num__friday_discharge,5
num__previous_admission_had_facility_discharge,5
num__self_harm_without_safety_order_flag,5
cat__last_service_TRAUM,5
num__late_orders_and_self_harm_flag,5
num__careunit_change_last_24h_before_discharge_flag,4
cat__discharge_location_CHRONIC/LONG TERM ACUTE CARE,4
cat__discharge_location_HOME HEALTH CARE,4
num__admissions_per_90d,4
num__age_65plus_x_discharge_to_facility,4
num__no_psychotropic_discharge_med_in_psychosis_flag,4
num__new_self_harm_this_admission_flag,4
num__late_imaging_orders_last_12h,4
num__late_consult_orders_last_12h,4
num__mean_bp_arterial_vital_min_value,4
num__had_mood_stabiliser,4
