model,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms,threshold_role,evaluation_subset,subset_admissions
Sequence-subset Tabular MLP,0.69,0.8133388112845795,0.6519430144082888,0.39915254237288134,0.4186666666666667,0.8852193621499109,0.4086767895878525,0.7729044304139011,0.44318081783023855,0.1831737458705902,5468,709,654,471,1.011637047995464,0.07481137200375088,0.019146796999848448,0.0026221305121676866,validation_f1,admissions_with_first72h_hourly_clinical_sequence,7302.0
Sequence-subset Tabular MLP,0.7,0.8166255820323199,0.6480697210080406,0.40480427046263345,0.40444444444444444,0.8916949975716367,0.4046242774566474,0.7729044304139011,0.44318081783023855,0.1831737458705902,5508,669,670,455,1.011637047995464,0.07481137200375088,0.019146796999848448,0.0026221305121676866,balanced_precision_recall,admissions_with_first72h_hourly_clinical_sequence,7302.0
Hourly Clinical GRU,0.5,0.517118597644481,0.5411973449894771,0.1752772518258047,0.576,0.5063946899789542,0.2687681459975114,0.5500150018887271,0.17197992973182602,0.23724648356437683,3128,3049,477,648,3.325619095005095,0.1684917079983279,0.04203842299466487,0.005757110790833316,default,admissions_with_first72h_hourly_clinical_sequence,7302.0
Hourly Clinical GRU,0.49,0.45795672418515476,0.5440328098861367,0.17339174544616093,0.6684444444444444,0.41962117532782905,0.2753570120834859,0.5500150018887271,0.17197992973182602,0.23724648356437683,2592,3585,373,752,3.325619095005095,0.1684917079983279,0.04203842299466487,0.005757110790833316,validation_f1,admissions_with_first72h_hourly_clinical_sequence,7302.0
Hourly Clinical GRU,0.55,0.8459326211996713,0.5,0.0,0.0,1.0,0.0,0.5500150018887271,0.17197992973182602,0.23724648356437683,6177,0,1125,0,3.325619095005095,0.1684917079983279,0.04203842299466487,0.005757110790833316,balanced_precision_recall,admissions_with_first72h_hourly_clinical_sequence,7302.0
Hourly Clinical LSTM,0.5,0.5190358805806629,0.5390590901732233,0.17435197817189632,0.568,0.5101181803464465,0.26680584551148223,0.5516173618980807,0.17116270502757985,0.2432122379541397,3151,3026,486,639,3.0147218519996386,0.16968086000997573,0.042079938008100726,0.005762796221323025,default,admissions_with_first72h_hourly_clinical_sequence,7302.0
Hourly Clinical LSTM,0.49,0.4608326485894276,0.5395531811559009,0.17164876226062586,0.6533333333333333,0.4257730289784685,0.27186979840946923,0.5516173618980807,0.17116270502757985,0.2432122379541397,2630,3547,390,735,3.0147218519996386,0.16968086000997573,0.042079938008100726,0.005762796221323025,validation_f1,admissions_with_first72h_hourly_clinical_sequence,7302.0
Hourly Clinical LSTM,0.57,0.8459326211996713,0.5,0.0,0.0,1.0,0.0,0.5516173618980807,0.17116270502757985,0.2432122379541397,6177,0,1125,0,3.0147218519996386,0.16968086000997573,0.042079938008100726,0.005762796221323025,balanced_precision_recall,admissions_with_first72h_hourly_clinical_sequence,7302.0
Hybrid Tabular + Hourly Clinical GRU,0.5,0.726650232812928,0.6810378285035886,0.30687361419068737,0.6151111111111112,0.7469645458960661,0.40946745562130177,0.7627240120159013,0.43234215135539084,0.17005442082881927,4614,1563,433,692,4.547916055991664,0.2526262780011166,0.0698592050030129,0.009567132977679116,default,admissions_with_first72h_hourly_clinical_sequence,7302.0
Hybrid Tabular + Hourly Clinical GRU,0.6,0.7801972062448644,0.6632516323997626,0.3492462311557789,0.49422222222222223,0.8322810425773028,0.4092749355907251,0.7627240120159013,0.43234215135539084,0.17005442082881927,5141,1036,569,556,4.547916055991664,0.2526262780011166,0.0698592050030129,0.009567132977679116,validation_f1,admissions_with_first72h_hourly_clinical_sequence,7302.0
Hybrid Tabular + Hourly Clinical GRU,0.66,0.8122432210353328,0.6422079758242945,0.39191564147627417,0.39644444444444443,0.8879715072041444,0.3941670349094123,0.7627240120159013,0.43234215135539084,0.17005442082881927,5485,692,679,446,4.547916055991664,0.2526262780011166,0.0698592050030129,0.009567132977679116,balanced_precision_recall,admissions_with_first72h_hourly_clinical_sequence,7302.0
