csv_path,sheet_name,rows,columns,rows_written,note
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_09_512-128_wd0p001_bs512_training_history.csv,wd0p001_bs512_training_histor_1,12,9,12,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_09_512-128_wd0p001_bs512_validation_threshold_search.csv,bs512_validation_threshold_se_3,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_10_512-128_wd0p0003_bs1024_performance.csv,128_wd0p0003_bs1024_performance,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_10_512-128_wd0p0003_bs1024_test_predictions.csv,wd0p0003_bs1024_test_predicti_1,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_10_512-128_wd0p0003_bs1024_training_history.csv,wd0p0003_bs1024_training_hist_1,10,9,10,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_10_512-128_wd0p0003_bs1024_validation_threshold_search.csv,bs1024_validation_threshold_s_1,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_11_768-256-64_wd0p0003_bs1024_performance.csv,64_wd0p0003_bs1024_performanc_1,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_11_768-256-64_wd0p0003_bs1024_test_predictions.csv,wd0p0003_bs1024_test_predicti_2,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_11_768-256-64_wd0p0003_bs1024_training_history.csv,wd0p0003_bs1024_training_hist_2,14,9,14,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_11_768-256-64_wd0p0003_bs1024_validation_threshold_search.csv,bs1024_validation_threshold_s_2,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_12_512-128_wd0p0003_bs1024_performance.csv,128_wd0p0003_bs1024_performan_1,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_12_512-128_wd0p0003_bs1024_test_predictions.csv,wd0p0003_bs1024_test_predicti_3,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_12_512-128_wd0p0003_bs1024_training_history.csv,wd0p0003_bs1024_training_hist_3,14,9,14,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_12_512-128_wd0p0003_bs1024_validation_threshold_search.csv,bs1024_validation_threshold_s_3,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_13_512-128_wd0p0003_bs512_performance.csv,128_wd0p0003_bs512_performance,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_13_512-128_wd0p0003_bs512_test_predictions.csv,wd0p0003_bs512_test_predictions,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_13_512-128_wd0p0003_bs512_training_history.csv,wd0p0003_bs512_training_history,14,9,14,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_13_512-128_wd0p0003_bs512_validation_threshold_search.csv,bs512_validation_threshold_se_4,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_14_256-64_wd0p0003_bs2048_performance.csv,64_wd0p0003_bs2048_performanc_1,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_14_256-64_wd0p0003_bs2048_test_predictions.csv,wd0p0003_bs2048_test_predicti_2,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_14_256-64_wd0p0003_bs2048_training_history.csv,wd0p0003_bs2048_training_hist_2,16,9,16,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_14_256-64_wd0p0003_bs2048_validation_threshold_search.csv,bs2048_validation_threshold_s_4,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_15_384-192-64_wd0p001_bs512_performance.csv,64_wd0p001_bs512_performance,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_15_384-192-64_wd0p001_bs512_test_predictions.csv,wd0p001_bs512_test_prediction_2,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_15_384-192-64_wd0p001_bs512_training_history.csv,wd0p001_bs512_training_histor_2,15,9,15,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_15_384-192-64_wd0p001_bs512_validation_threshold_search.csv,bs512_validation_threshold_se_5,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_16_512-128_wd0p001_bs512_performance.csv,128_wd0p001_bs512_performance_1,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_16_512-128_wd0p001_bs512_test_predictions.csv,wd0p001_bs512_test_prediction_3,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_16_512-128_wd0p001_bs512_training_history.csv,wd0p001_bs512_training_histor_3,13,9,13,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_16_512-128_wd0p001_bs512_validation_threshold_search.csv,bs512_validation_threshold_se_6,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_17_512-256-64_wd0p0005_bs1024_performance.csv,64_wd0p0005_bs1024_performance,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_17_512-256-64_wd0p0005_bs1024_test_predictions.csv,wd0p0005_bs1024_test_prediction,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_17_512-256-64_wd0p0005_bs1024_training_history.csv,wd0p0005_bs1024_training_histor,13,9,13,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_17_512-256-64_wd0p0005_bs1024_validation_threshold_search.csv,bs1024_validation_threshold_s_4,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_18_768-256-64_wd0p0005_bs1024_performance.csv,64_wd0p0005_bs1024_performanc_1,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_18_768-256-64_wd0p0005_bs1024_test_predictions.csv,wd0p0005_bs1024_test_predicti_1,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_18_768-256-64_wd0p0005_bs1024_training_history.csv,wd0p0005_bs1024_training_hist_1,15,9,15,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_18_768-256-64_wd0p0005_bs1024_validation_threshold_search.csv,bs1024_validation_threshold_s_5,99,7,99,complete
