processed_feature_name,model_family,model_name,model_mean_abs_shap,model_mean_signed_shap
num__urea_nitrogen_lab_first_24h_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00027862410374913054,-5.6591732693136964e-05
num__wbc_lab_first_24h_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0001376610823572857,-2.5684839852189765e-06
num__creatinine_lab_first_24h_max,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.000739751928202634,0.00014327569456340275
num__glucose_lab_first_24h_max,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.002353363993630075,-0.0006002786181419252
num__hemoglobin_lab_first_24h_max,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.002836455675184394,-8.379099902750744e-05
num__platelet_lab_first_24h_max,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0031632403209936257,-0.0002442950521446401
num__potassium_lab_first_24h_max,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0015420150514727827,-5.262626713102536e-05
num__sodium_lab_first_24h_max,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.002314563219627121,7.345039564786647e-06
num__urea_nitrogen_lab_first_24h_max,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0010618796351139848,3.650445328461289e-05
num__wbc_lab_first_24h_max,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.002476826314322703,0.00010886715604495345
num__creatinine_lab_first_24h_mean,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0014344544519902013,0.00026935828990282004
num__glucose_lab_first_24h_mean,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0016360630406661674,0.00015498825877952908
num__hemoglobin_lab_first_24h_mean,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0023013191921841545,-7.035499990235124e-05
num__platelet_lab_first_24h_mean,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0015667860687632157,2.555500164311397e-05
num__potassium_lab_first_24h_mean,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.003560700472452048,-0.00023889188041120667
num__sodium_lab_first_24h_mean,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0023178636829062358,3.2917309788084023e-05
num__urea_nitrogen_lab_first_24h_mean,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.002537287183893962,-5.739661858834941e-05
