processed_feature_name,feature_name_clean,feature_family,importance_rank,mean_abs_shap,mean_signed_shap,nonzero_train_percent,selection_reason
num__new_orders_last_24h_per_hospital_day,new_orders_last_24h_per_hospital_day,poe_late_order_pathway,318,0.00286135291139206,-0.0001299259293932187,100.0,top_global_shap
num__late_medication_order_share_last_12h,late_medication_order_share_last_12h,poe_late_order_pathway,319,0.0028522171796689128,-0.00038681850985511465,100.0,top_global_shap
num__num_positive_blood_culture,num_positive_blood_culture,other,320,0.0028388560639860325,-0.00010636893120648734,100.0,top_global_shap
num__emar_administered_event_count,emar_administered_event_count,medication_emar_pharmacy,321,0.0028312985188937937,-3.3115924560533016e-06,100.0,top_global_shap
num__days_since_previous_icu_admission,days_since_previous_icu_admission,prior_utilisation,322,0.0028308926139999644,0.00027111870177566036,100.0,top_global_shap
num__potassium_lab_first_72h_max,potassium_lab_first_72h_max,lab_vital_hourly,323,0.002814794808583796,-0.00028563768463620384,100.0,top_global_shap
num__potassium_lab_coefficient_of_variation,potassium_lab_coefficient_of_variation,lab_vital_hourly,324,0.0028005552332215885,0.00014493987785369416,100.0,top_global_shap
num__sodium_lab_std_value,sodium_lab_std_value,lab_vital_hourly,325,0.0027999424750503143,-0.0006521937082222942,0.8049341417520385,top_global_shap
num__potassium_lab_std_value,potassium_lab_std_value,lab_vital_hourly,326,0.002762348917339621,0.00037827621590625976,100.0,top_global_shap
num__wbc_lab_first_24h_max,wbc_lab_first_24h_max,lab_vital_hourly,327,0.0027532280676402414,-4.407296366738112e-05,3.5072130462053104,top_global_shap
num__wbc_lab_max_value,wbc_lab_max_value,lab_vital_hourly,328,0.0027468309484670623,2.8643761532432048e-05,33.56000418147606,top_global_shap
num__glucose_lab_rate_of_change_per_day,glucose_lab_rate_of_change_per_day,lab_vital_hourly,329,0.002745105093654999,0.0001458189432600897,100.0,top_global_shap
num__num_discontinued_pharmacy_orders,num_discontinued_pharmacy_orders,poe_late_order_pathway,330,0.0027364381749234814,-0.0007362257497561379,100.0,top_global_shap
num__num_orders_first_6h,num_orders_first_6h,poe_late_order_pathway,331,0.002735471728110459,0.00039495749593883506,100.0,top_global_shap
num__num_psych_med_classes,num_psych_med_classes,psychiatric_history,332,0.0027313960486075595,0.0003130726837340256,100.0,top_global_shap
num__num_social_work_case_management_orders,num_social_work_case_management_orders,poe_late_order_pathway,333,0.0027215632448237236,-9.19225989568352e-05,100.0,top_global_shap
num__previous_ed_visits_180d,previous_ed_visits_180d,prior_utilisation,334,0.0027137349647158985,0.0014620858807955486,100.0,top_global_shap
num__wbc_lab_first_72h_max,wbc_lab_first_72h_max,lab_vital_hourly,335,0.0027086134237466458,-1.0403413661637593e-05,17.56585824796153,top_global_shap
cat__first_service_ORTHO,first_service_ORTHO,demographic_admin,336,0.002680621513236795,-1.8579730749969426e-05,100.0,top_global_shap
num__had_antidepressant,had_antidepressant,other,337,0.0026761105000396935,-0.00014534318262036486,100.0,top_global_shap
num__glucose_lab_first_value,glucose_lab_first_value,lab_vital_hourly,338,0.0026658229691504456,-0.000112207184937129,0.0,top_global_shap
num__rass_extreme_flag,rass_extreme_flag,lab_vital_hourly,339,0.002660020681291078,0.00013012292292101108,100.0,top_global_shap
num__systolic_bp_noninvasive_vital_rate_of_change_per_day,systolic_bp_noninvasive_vital_rate_of_change_per_day,lab_vital_hourly,340,0.0026473497788017646,6.420388114454072e-05,0.5075266569098892,top_global_shap
num__self_harm_recurrent_flag,self_harm_recurrent_flag,psychiatric_history,341,0.002646109713891348,0.0006024799685581526,1.2345808070248798,top_global_shap
num__num_scheduled_psychotropic_orders,num_scheduled_psychotropic_orders,psychiatric_history,342,0.0026452224144160605,-0.000290826531816988,100.0,top_global_shap
num__orders_after_72h_to_total_ratio,orders_after_72h_to_total_ratio,poe_late_order_pathway,343,0.0026331176457538696,-0.00021429662345381895,100.0,top_global_shap
num__platelet_lab_max_value,platelet_lab_max_value,lab_vital_hourly,344,0.0026272106866131323,9.056318565964667e-05,100.0,top_global_shap
num__microbiology_test_count,microbiology_test_count,other,345,0.0026027575382785895,-0.00025120850925686026,100.0,top_global_shap
num__wbc_lab_value_change,wbc_lab_value_change,lab_vital_hourly,346,0.002581332725323746,0.00020072393642380962,27.049445954421913,top_global_shap
num__delayed_administered_rate,delayed_administered_rate,other,347,0.0025604071368298294,-3.3801224954452246e-05,100.0,top_global_shap
num__late_followup_aftercare_order_share_last_12h,late_followup_aftercare_order_share_last_12h,discharge_aftercare,348,0.0025557540086399103,0.0003101983808613011,100.0,top_global_shap
num__hemoglobin_lab_first_24h_max,hemoglobin_lab_first_24h_max,lab_vital_hourly,349,0.0025538928296266325,-0.00010476351314251222,100.0,top_global_shap
num__wbc_lab_mean_value,wbc_lab_mean_value,lab_vital_hourly,350,0.0025499811054294445,0.00019761564867694928,5.74848421492787,top_global_shap
cat__insurance_Private,insurance_Private,demographic_admin,351,0.002539891839083406,-0.00012069021245722893,100.0,top_global_shap
num__num_discontinued_orders,num_discontinued_orders,poe_late_order_pathway,352,0.0025204463148486454,0.0010479543654212118,100.0,top_global_shap
num__late_discontinued_lab_orders,late_discontinued_lab_orders,poe_late_order_pathway,353,0.002516830493913451,-7.269615911977902e-05,100.0,top_global_shap
num__chart_acuity_event_density_per_day,chart_acuity_event_density_per_day,other,354,0.002508888490885425,0.0005712596820511473,100.0,top_global_shap
num__substance_use_on_current_and_previous_admission_flag,substance_use_on_current_and_previous_admission_flag,prior_utilisation,355,0.0025039620060340172,-4.28418632292001e-05,0.24252561154087393,top_global_shap
cat__anchor_year_group_2011 - 2013,anchor_year_group_2011 - 2013,other,356,0.002495972989201925,3.6144198911666365e-05,100.0,top_global_shap
num__orders_24_to_72h,orders_24_to_72h,poe_late_order_pathway,357,0.002487047007362969,-0.0007005082867338086,100.0,top_global_shap
cat__race_OTHER,race_OTHER,demographic_admin,358,0.00248455200677202,-2.1102617971668923e-05,100.0,top_global_shap
num__num_floor_stock_pharmacy_orders,num_floor_stock_pharmacy_orders,poe_late_order_pathway,359,0.0024816217888629613,2.2128172139122322e-05,100.0,top_global_shap
num__sodium_lab_max_value,sodium_lab_max_value,lab_vital_hourly,360,0.0024648001406126973,-0.00035918161322409425,0.2294584988500941,top_global_shap
num__potassium_lab_first_24h_min,potassium_lab_first_24h_min,lab_vital_hourly,361,0.002464163176726018,-0.0004978108351722309,100.0,top_global_shap
num__num_lab_events_first_24h,num_lab_events_first_24h,lab_vital_hourly,362,0.0024634116935055433,-0.00041797950449476705,100.0,top_global_shap
