processed_feature_name,mean_abs_shap,max_abs_shap,mean_signed_shap,shap_model_count,feature_name_clean,feature_family,nonzero_train_percent,importance_rank
cat__total_diagnosis_burden_category_6-10,0.0007890927916989924,0.0010795472696686688,-3.2720942394241255e-05,2,total_diagnosis_burden_category_6-10,other,100.0,670
num__heart_rate_72h_max,0.0007876616753725754,0.0008963728905655444,-0.00010432825516317658,2,heart_rate_72h_max,lab_vital_hourly,100.0,671
num__psychotropic_orders_last_24h_before_discharge,0.0007871324039617516,0.00089619419304654,-3.503176259401685e-05,2,psychotropic_orders_last_24h_before_discharge,psychiatric_history,100.0,672
num__systolic_bp_noninvasive_vital_value_change,0.0007862651095391392,0.000817103395916736,-4.261181893863425e-05,2,systolic_bp_noninvasive_vital_value_change,lab_vital_hourly,5.774618440309429,673
cat__total_diagnosis_burden_category_11-20,0.0007841013006823106,0.0008488754128020194,0.00011260117510285786,2,total_diagnosis_burden_category_11-20,other,100.0,674
cat__age_group_80+,0.0007831180161388908,0.0008740111455437429,8.190414145161005e-05,2,age_group_80+,demographic_admin,100.0,675
num__respiratory_rate_vital_value_change,0.0007727654222479755,0.000977070986309408,9.765736897867254e-05,2,respiratory_rate_vital_value_change,lab_vital_hourly,33.89870374242108,676
num__potassium_lab_first_24h_count,0.0007709461727191083,0.001301005179437314,0.0001066872578717329,2,potassium_lab_first_24h_count,lab_vital_hourly,100.0,677
num__ed_admission_with_self_harm_flag,0.0007668282848429952,0.0011258372105658054,0.00019726615603377296,2,ed_admission_with_self_harm_flag,psychiatric_history,100.0,678
num__elixhauser_rheumatoid_collagen,0.0007658713225762165,0.0010003065690398216,-6.511059123149148e-05,2,elixhauser_rheumatoid_collagen,medical_comorbidity,100.0,679
num__discharged_to_snf_flag,0.0007649990267445468,0.0011418646899983287,9.003085779872505e-06,2,discharged_to_snf_flag,discharge_aftercare,100.0,680
cat__icu_utilisation_category_Single ICU stay,0.0007648783234951322,0.0009756098734214902,0.00020884365985277833,2,icu_utilisation_category_Single ICU stay,prior_utilisation,100.0,681
num__admitted_from_clinic_referral_flag,0.0007631227140391298,0.0011997951660305262,3.558051249111989e-05,2,admitted_from_clinic_referral_flag,other,100.0,682
num__spo2_vital_value_change,0.0007607545582584909,0.0008942605685457331,4.843778095870685e-05,2,spo2_vital_value_change,lab_vital_hourly,1.7766046414384278,683
