config_number,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree,training_roc_auc,validation_roc_auc,training_pr_auc_average_precision,validation_pr_auc_average_precision,validation_brier_score,elapsed_seconds,pr_auc_gap,passes_pr_auc_gap_filter,selected_config,max_allowed_pr_auc_gap,gap_filter_used_for_selection
18,0.9,20,1.5,360,1,8,0.05,0.1,0.8,0.9629494058866619,0.7910540912927005,0.8704222913131682,0.589926574715019,0.15036343038082123,22.685693669998727,0.2804957165981492,False,False,0.13,False
15,0.85,35,1.5,700,5,8,0.03,0.0,0.8,0.9639138265765755,0.7916353851863732,0.8679283494050186,0.5898709137866024,0.15013986825942993,38.8182303240028,0.2780574356184162,False,False,0.13,False
23,0.9,10,1.0,500,1,5,0.04,0.0,0.75,0.8774623780814447,0.7936845508000512,0.6898981889538909,0.589703709605489,0.1670992523431778,13.36330711300252,0.10019447934840187,True,False,0.13,False
32,0.75,5,0.5,900,1,7,0.025,0.05,0.75,0.9663408614809669,0.7902385560194622,0.8812174629129533,0.5896716722365849,0.14872172474861145,38.73196146199916,0.29154579067636843,False,False,0.13,False
31,0.9,5,1.5,300,5,6,0.025,0.0,0.6,0.8477846591784628,0.7951800222759979,0.6519346374309404,0.5895827360929936,0.17135612666606903,10.773327533002885,0.06235190133794677,True,False,0.13,False
64,0.9,50,1.5,900,10,6,0.03,0.0,0.75,0.915760110745103,0.7931556040507637,0.7552385854664151,0.5893332124543802,0.16098417341709137,28.486114405997796,0.1659053730120349,False,False,0.13,False
49,0.85,50,1.0,300,10,7,0.025,0.05,0.75,0.8543287203102554,0.7958771594948784,0.6576859165093409,0.5892528044295345,0.1702483743429184,13.695613012001559,0.0684331120798064,True,False,0.13,False
74,0.85,50,0.5,900,10,6,0.03,0.0,0.6,0.9154224682286994,0.7934449581310277,0.7542416490613371,0.5891801953843829,0.16092590987682343,27.477557610000076,0.16506145367695413,False,False,0.13,False
71,0.75,50,0.5,500,5,8,0.05,0.0,0.6,0.9678749711631434,0.7888853184688774,0.8781734243643853,0.5891768206455875,0.1488751918077469,27.404099969004164,0.28899660371879776,False,False,0.13,False
57,0.85,5,0.0,360,10,7,0.065,0.0,0.8,0.9522019124981809,0.788096942694858,0.8416388802094601,0.5890941742570452,0.1539609432220459,13.852370814995083,0.25254470595241485,False,False,0.13,False
2,0.75,35,0.5,360,1,8,0.05,0.0,0.75,0.9575948051140482,0.7902019403019077,0.85202688409535,0.5890516160382594,0.15190742909908295,23.006119269004557,0.2629752680570906,False,False,0.13,False
41,0.75,35,1.0,360,1,7,0.05,0.05,0.75,0.9299405701140989,0.792124498003473,0.7858308451585629,0.5886485950658383,0.1583077311515808,17.58537983000133,0.1971822500927246,False,False,0.13,False
78,0.85,10,0.0,900,10,5,0.03,0.05,0.6,0.8918995465628229,0.7931011672371463,0.713078076369607,0.5884188669233171,0.1651768833398819,21.28184855899599,0.12465920944628983,True,False,0.13,False
55,0.85,20,1.0,900,10,5,0.05,0.1,0.6,0.9257581768775055,0.7895800745809769,0.7747300035628112,0.5883074240287351,0.15934759378433228,21.80146943199361,0.18642257953407604,False,False,0.13,False
46,0.75,35,0.5,300,1,7,0.065,0.0,0.8,0.9381917465676729,0.790977654044556,0.8037824998567302,0.588185499617753,0.15641506016254425,15.191110524996475,0.2155970002389772,False,False,0.13,False
56,0.85,5,1.0,500,1,6,0.05,0.0,0.8,0.9397444221172876,0.7897893267409415,0.8115236814688286,0.5881362074247297,0.1564987301826477,17.177087361000304,0.22338747404409887,False,False,0.13,False
19,0.9,5,1.5,700,10,5,0.04,0.0,0.8,0.8987278335581323,0.7922963655468185,0.7251555442663282,0.5881170938004516,0.1640593707561493,17.416267905995483,0.1370384504658766,False,False,0.13,False
29,0.85,50,1.0,360,10,8,0.065,0.05,0.75,0.9607448162523976,0.7888429360083382,0.8581343583112003,0.5879957313574237,0.1514325886964798,18.97449756399874,0.27013862695377666,False,False,0.13,False
61,0.9,50,0.5,900,15,7,0.04,0.0,0.8,0.9606170224611821,0.788710871393186,0.8563254761646529,0.5877766468349811,0.15132491290569305,33.804376274994866,0.26854882932967183,False,False,0.13,False
36,0.85,35,1.5,700,1,5,0.03,0.1,0.6,0.8702615502501514,0.7945286159490674,0.6765579643871272,0.5877050756530612,0.16827164590358734,18.207600216999708,0.08885288873406605,True,False,0.13,False
59,0.85,10,1.5,700,1,7,0.05,0.1,0.75,0.9831729565940257,0.7850454861464169,0.930559892801218,0.5876462230989649,0.14309623837471008,30.978859880997334,0.3429136697022531,False,False,0.13,False
73,0.85,50,1.5,900,15,7,0.05,0.1,0.6,0.9731252482943654,0.7860297699611499,0.8922385315282503,0.5873706803854657,0.147549569606781,33.235110346999136,0.3048678511427846,False,False,0.13,False
4,0.9,20,1.0,500,10,5,0.025,0.05,0.75,0.8427745410149352,0.7949983636711759,0.6387509616651592,0.5873314745053955,0.1720075160264969,13.363770513002237,0.051419487159763744,True,False,0.13,False
14,0.75,10,0.0,300,1,5,0.065,0.1,0.75,0.8766378014296199,0.793062313031186,0.6888806914346989,0.5872770007815642,0.1673951894044876,8.714559610998549,0.10160369065313468,True,False,0.13,False
12,0.75,50,1.5,700,5,8,0.04,0.05,0.75,0.9755302748957126,0.7871477057955557,0.9003962282112439,0.5872429522296314,0.14629362523555756,39.77136427399819,0.31315327598161247,False,False,0.13,False
69,0.85,5,1.0,360,5,5,0.065,0.05,0.6,0.8854504296926383,0.791130528540845,0.7028647596324324,0.5866849213317373,0.16644732654094696,9.75599198400596,0.11617983830069512,True,False,0.13,False
9,0.75,10,1.5,500,15,5,0.05,0.0,0.75,0.8862871702599124,0.7920177140454705,0.7018650959037009,0.5865837388044441,0.16611963510513306,12.964050800997938,0.1152813570992568,True,False,0.13,False
